t,mode_index,q,mean_magnetization,coherent_A_real,coherent_A_imag,coherent_A_abs,direct_coherent_A_plus_real,direct_coherent_A_plus_imag,direct_coherent_A_plus_abs,cosine_amplitude,theory_cosine_amplitude
0,2,0.1308996938995747,-0.0032083333333333334,0.02495953070388667,0.00017257162641594613,0.024960127281816995,0.02279530650703962,-0.003033423844636355,0.022996253150700256,0.04991906140777334,0.05
1,2,0.1308996938995747,-0.0011875,0.010630039532493087,-0.000132823857505498,0.010630869326611465,0.01053670117923387,-0.00217832697401306,0.0107595157951546,0.021260079064986174,0.02138557753239831
2,2,0.1308996938995747,0.0065208333333333325,0.004685970935190671,-0.0001531235195739127,0.004688472077094886,0.006119050605563439,-0.0013035531067628538,0.006256359246046967,0.009371941870381342,0.009146858527884388
3,2,0.1308996938995747,-0.0012500000000000005,0.0017347475772570141,-5.7995758524802786e-05,0.0017357167582315808,0.0033140299627533974,-0.0010385427323187182,0.0034729476818517306,0.0034694951545140283,0.003912217044519005
4,2,0.1308996938995747,-0.007416666666666668,0.0006894051406085083,7.714848170984935e-05,0.0006937083941596584,0.004940520982168196,-0.0008685304378326892,0.005016282756851535,0.0013788102812170165,0.0016733004185826269
5,2,0.1308996938995747,-0.005000000000000001,0.0003442603271461931,8.54239763269613e-05,0.00035470047727387277,0.0006704088168009348,0.0030207067473350937,0.0030942070446303674,0.0006885206542923862,0.0007156899167318661
6,2,0.1308996938995747,0.0002083333333333335,1.945483243718181e-05,4.207967852433199e-05,4.635935558083123e-05,-0.0005944171044779294,-0.00041997765558440955,0.0007278137984993845,3.890966487436362e-05,0.00030610884406850024
7,2,0.1308996938995747,0.0036875,-3.5332664257287995e-05,1.4111943989252412e-05,3.8046604666829785e-05,-0.0007574056525127091,-0.0013623526234190064,0.0015587392318777542,-7.066532851457599e-05,0.00013092628836359473
8,2,0.1308996938995747,-0.001791666666666667,-6.466121073361457e-06,-8.233035939352921e-05,8.258388946763802e-05,-0.0013172317800850398,-0.0026112356232543374,0.00292466255192261,-1.2932242146722914e-05,5.599868581657587e-05
9,2,0.1308996938995747,0.002,-5.643740095456245e-05,-5.905579483086677e-05,8.168700710401549e-05,-0.000766306523157662,0.0002879927356568006,0.000818636368129997,-0.0001128748019091249,2.3951284744855937e-05
