t,mode_index,q,mean_magnetization,coherent_A_real,coherent_A_imag,coherent_A_abs,direct_coherent_A_plus_real,direct_coherent_A_plus_imag,direct_coherent_A_plus_abs,cosine_amplitude,theory_cosine_amplitude
0,0,0.0,0.0509375,0.05094791666666666,0.0,0.05094791666666666,0.0509375,0.0,0.0509375,0.05094791666666666,0.05
1,0,0.0,0.0379375,0.03669791666666666,0.0,0.03669791666666666,0.0379375,0.0,0.0379375,0.03669791666666666,0.036
2,0,0.0,0.025208333333333333,0.025885416666666668,0.0,0.025885416666666668,0.025208333333333333,0.0,0.025208333333333333,0.025885416666666668,0.02592
3,0,0.0,0.01927083333333333,0.018020833333333333,0.0,0.018020833333333333,0.019270833333333334,0.0,0.019270833333333334,0.018020833333333333,0.0186624
4,0,0.0,0.014791666666666667,0.012875000000000001,0.0,0.012875000000000001,0.014791666666666665,0.0,0.014791666666666665,0.012875000000000001,0.013436927999999999
5,0,0.0,0.011458333333333334,0.009552083333333333,0.0,0.009552083333333333,0.01145833333333333,0.0,0.01145833333333333,0.009552083333333333,0.009674588159999999
6,0,0.0,0.013000000000000003,0.006500000000000001,0.0,0.006500000000000001,0.013,0.0,0.013,0.006500000000000001,0.0069657034751999984
7,0,0.0,0.005583333333333333,0.004322916666666667,0.0,0.004322916666666667,0.005583333333333333,0.0,0.005583333333333333,0.004322916666666667,0.005015306502143999
8,0,0.0,0.007666666666666666,0.0031875,0.0,0.0031875,0.007666666666666666,0.0,0.007666666666666666,0.0031875,0.0036110206815436786
9,0,0.0,0.004375,0.002447916666666667,0.0,0.002447916666666667,0.004375,0.0,0.004375,0.002447916666666667,0.002599934890711449
10,0,0.0,0.0053125,0.001635416666666667,0.0,0.001635416666666667,0.0053124999999999995,0.0,0.0053124999999999995,0.001635416666666667,0.0018719531213122432
11,0,0.0,0.0018541666666666672,0.0011666666666666668,0.0,0.0011666666666666668,0.0018541666666666665,0.0,0.0018541666666666665,0.0011666666666666668,0.001347806247344815
12,0,0.0,0.004229166666666667,0.0008229166666666665,0.0,0.0008229166666666665,0.004229166666666667,0.0,0.004229166666666667,0.0008229166666666665,0.0009704204980882669
13,0,0.0,0.0021666666666666666,0.0005104166666666666,0.0,0.0005104166666666666,0.0021666666666666666,0.0,0.0021666666666666666,0.0005104166666666666,0.000698702758623552
14,0,0.0,0.0014583333333333338,0.00029166666666666664,0.0,0.00029166666666666664,0.0014583333333333334,0.0,0.0014583333333333334,0.00029166666666666664,0.0005030659862089574
15,0,0.0,0.00045833333333333316,0.00026041666666666666,0.0,0.00026041666666666666,0.00045833333333333316,0.0,0.00045833333333333316,0.00026041666666666666,0.00036220751007044933
16,0,0.0,0.0021666666666666674,0.0001770833333333333,0.0,0.0001770833333333333,0.0021666666666666666,0.0,0.0021666666666666666,0.0001770833333333333,0.00026078940725072353
17,0,0.0,0.0036041666666666665,0.0001354166666666666,0.0,0.0001354166666666666,0.003604166666666666,0.0,0.003604166666666666,0.0001354166666666666,0.00018776837322052094
18,0,0.0,0.006145833333333333,8.333333333333329e-05,0.0,8.333333333333329e-05,0.006145833333333334,0.0,0.006145833333333334,8.333333333333329e-05,0.00013519322871877504
19,0,0.0,0.006875,7.291666666666667e-05,0.0,7.291666666666667e-05,0.006875,0.0,0.006875,7.291666666666667e-05,9.733912467751804e-05
20,0,0.0,0.002166666666666667,4.166666666666667e-05,0.0,4.166666666666667e-05,0.0021666666666666666,0.0,0.0021666666666666666,4.166666666666667e-05,7.008416976781298e-05
21,0,0.0,0.006687500000000002,4.1666666666666665e-05,0.0,4.1666666666666665e-05,0.006687499999999999,0.0,0.006687499999999999,4.1666666666666665e-05,5.046060223282535e-05
22,0,0.0,0.007583333333333333,2.0833333333333343e-05,0.0,2.0833333333333343e-05,0.0075833333333333326,0.0,0.0075833333333333326,2.0833333333333343e-05,3.633163360763425e-05
23,0,0.0,0.0036041666666666665,2.0833333333333343e-05,0.0,2.0833333333333343e-05,0.0036041666666666674,0.0,0.0036041666666666674,2.0833333333333343e-05,2.615877619749666e-05
