mode_index,q,q_over_pi,kernel_hat,Lambda_star,lambda_theory,lambda_fit,fit_r2,relative_error,lambda_fit_over_lambda0_fit
0,0.0,0.0,1.0,0.72,0.72,0.7129415593693936,0.9989984695143457,0.009803389764731035,1.0
1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.72,0.6392095343932522,0.6258329358487293,0.9983406778279369,0.02092678194673702,0.8778180029261963
2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.72,0.4277115506479662,0.4263767157849748,0.9986382706299893,0.003120876349888446,0.5980528280075449
4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,0.72,-0.05999999999999992,-0.04682694600847642,0.8940355830131899,0.21955089985872528,-0.06568132463745764
6,0.39269908169872414,0.125,-0.2511391455052437,0.72,-0.18082018476377545,-0.17841887930467437,0.9796857949180983,0.013280074136845742,-0.25025736956965766
8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,0.72,-3.9968028886505634e-17,0.008884554494137515,0.15723353416279706,8884554494.137554,0.012461827168549443
