t,mode_index,q,mean_magnetization,coherent_A_real,coherent_A_imag,coherent_A_abs,direct_coherent_A_plus_real,direct_coherent_A_plus_imag,direct_coherent_A_plus_abs,cosine_amplitude,theory_cosine_amplitude
0,4,0.2617993877991494,-0.0024375,0.0243013422084476,3.148747644277803e-05,0.02430136260774794,0.02456859875212642,-0.0012070069041816363,0.024598229820654374,0.0486026844168952,0.05
1,4,0.2617993877991494,-0.0009791666666666666,-0.001132199680505467,-0.00035005321536399245,0.0011850794783993819,0.0018238909662305139,-0.0018486919601849597,0.0025969675046772895,-0.002264399361010934,-0.002999999999999996
2,4,0.2617993877991494,-0.002500000000000001,9.923735209481355e-05,0.0004931972759315978,0.000503082105661828,0.0014857257301975461,0.00402752628748025,0.00429282528665161,0.0001984747041896271,0.00017999999999999952
3,4,0.2617993877991494,-0.001854166666666666,-0.00012230706451026133,-0.00017737174666743145,0.00021545244149225303,-0.00020690915039376845,0.0017281522460773976,0.0017404946372049023,-0.00024461412902052266,-1.0799999999999958e-05
4,4,0.2617993877991494,-0.0017083333333333328,0.0003421877079886823,-2.4738613720441894e-05,0.00034308078714401506,-0.00017531871654833886,-0.00235742835468418,0.002363938472092943,0.0006843754159773646,6.479999999999966e-07
5,4,0.2617993877991494,0.00014583333333333345,-0.00010277463587580447,-0.00010898066661915728,0.00014979790210867472,-0.004550128701144016,-0.001425899337915062,0.004768318374316164,-0.00020554927175160895,-3.887999999999975e-08
6,4,0.2617993877991494,0.002125,5.4271106725314244e-05,2.6577834395435144e-05,6.042958138479551e-05,0.0020695248586624316,-0.0006752157454980096,0.002176889855640425,0.00010854221345062849,2.332799999999982e-09
7,4,0.2617993877991494,-0.0008750000000000008,-8.499227357177797e-05,0.00011157779598211984,0.0001402615097705978,-0.0011705056023029019,-0.001067168926661289,0.0015839611368508655,-0.00016998454714355594,-1.3996799999999873e-10
8,4,0.2617993877991494,-0.0018958333333333327,-6.939664842703849e-05,7.790076380768889e-05,0.00010432844202194966,-0.006357225230105416,-0.005558554441973656,0.008444633805599502,-0.00013879329685407698,8.398079999999912e-12
9,4,0.2617993877991494,-0.004062499999999999,-3.37354284452777e-05,3.4839640445098074e-05,4.849618210467877e-05,-0.0021383770503000093,-0.004481265082220435,0.004965319037723346,-6.74708568905554e-05,-5.038847999999941e-13
10,4,0.2617993877991494,-0.01,-7.749122488286895e-05,7.383800183904021e-05,0.00010703709847258322,-0.0006865383714739017,0.0023301958847626106,0.002429227819054986,-0.0001549824497657379,3.02330879999996e-14
11,4,0.2617993877991494,-0.005479166666666667,-3.6470854236449516e-05,-1.3352140122772831e-05,3.8838162348320595e-05,0.0005742994948716564,0.004600381427670655,0.004636089859986207,-7.294170847289903e-05,-1.8139852799999738e-15
12,4,0.2617993877991494,-0.009208333333333334,-5.0587472593531104e-05,-2.1778857033083567e-05,5.5076410531812564e-05,0.005496006878648155,-0.001812239483371162,0.005787080745525953,-0.00010117494518706221,1.0883911679999829e-16
13,4,0.2617993877991494,-0.005937500000000001,9.079494226934642e-06,-2.0383288322504914e-05,2.231402380242758e-05,0.0006287682135621386,-0.0009813186731699856,0.0011654766427081343,1.8158988453869283e-05,-6.530347007999889e-18
14,4,0.2617993877991494,-0.0038125,-5.0663576095377836e-05,2.120079354593837e-05,5.4920593494149736e-05,0.0004091647716805152,0.0018582661523086198,0.001902779257612467,-0.00010132715219075567,3.918208204799928e-19
15,4,0.2617993877991494,-0.002104166666666666,-1.1167329029366162e-06,2.358128002762132e-05,2.3607707642157748e-05,0.0017716742920613655,0.000963857145462205,0.0020168912697539477,-2.2334658058732323e-06,-2.3509249228799537e-20
