t,mode_index,q,mean_magnetization,coherent_A_real,coherent_A_imag,coherent_A_abs,direct_coherent_A_plus_real,direct_coherent_A_plus_imag,direct_coherent_A_plus_abs,cosine_amplitude,theory_cosine_amplitude
0,8,0.5235987755982988,0.0010624999999999999,0.025206366767137833,0.0002586203086546961,0.025207693469723073,0.02675612590804004,-0.0006234505383792487,0.026763388503339727,0.05041273353427567,0.05
1,8,0.5235987755982988,0.0025,0.000231857606762476,0.0004330395496846299,0.0004912038287764968,-0.0006824115179401305,-0.0014954590063073984,0.001643801423336549,0.000463715213524952,-1.9984014443252816e-18
2,8,0.5235987755982988,0.002687500000000001,-0.0004624198421397213,8.592407610379452e-05,0.00047033504787418883,-0.0013189231613413316,-0.00024784935442716347,0.0013420087958029836,-0.0009248396842794426,7.987216665362744e-35
3,8,0.5235987755982988,0.001541666666666667,0.00017085337279840299,0.00012946045031536982,0.00021436157116528235,0.0005652911374211581,0.0012576111415569188,0.0013788182815059433,0.00034170674559680597,-3.192333064039974e-51
4,8,0.5235987755982988,0.0018333333333333333,-6.658650880638819e-05,3.5390204391209847e-06,6.668049055527208e-05,-0.0017388747582116019,0.0014008681198083802,0.002232961467164385,-0.00013317301761277638,1.2759126011889671e-67
5,8,0.5235987755982988,0.0041666666666666675,1.3581745596805798e-05,6.593882311377289e-05,6.732304365583737e-05,0.0013155845355529068,0.0006079060817564845,0.0014492454845272,2.7163491193611597e-05,-5.099571170097718e-84
6,8,0.5235987755982988,0.007958333333333333,0.00013187764622754578,-4.166666666666667e-05,0.00013830337915477276,-0.00045703796194810286,0.0021490645679521146,0.0021971258989618428,0.00026375529245509157,2.0381980783525692e-100
7,8,0.5235987755982988,0.00525,0.0001229567455968058,-6.25e-05,0.00013792973315336193,0.0005434165229381111,0.0038065562437525234,0.0038451491459049374,0.0002459134911936116,-8.146275967201576e-117
8,8,0.5235987755982988,0.0049583333333333346,4.4083862578842546e-05,2.985443128942123e-05,5.324165669365527e-05,0.0018595485468582856,-0.0007194441874331418,0.001993870792442202,8.816772515768509e-05,3.2559059317455918e-133
9,8,0.5235987755982988,0.003791666666666667,-8.373412263472623e-06,-0.00018116984213972147,0.00018136324251034352,-0.002663220649708599,0.004749291424878267,0.005445044836129133,-1.6746824526945247e-05,-1.3013214233175287e-149
10,8,0.5235987755982988,0.001125,9.718882311377289e-05,3.0876058491018277e-05,0.00010197547904364568,0.00025120236790417713,-0.00186383545031537,0.0018806874316305098,0.00019437764622754579,5.2011252237783616e-166
11,8,0.5235987755982988,-0.002374999999999999,7.254272515768497e-05,5.0687764622754595e-05,8.849687257612662e-05,-0.0007748661465548998,0.003318976856926153,0.003408229000799131,0.00014508545031536994,-2.0787872318630662e-182
12,8,0.5235987755982988,-0.005812500000000001,2.6041666666666685e-05,-3.822784355289386e-05,4.62551232349705e-05,-2.8365859097788958e-05,-0.0005954998562714446,0.0005961750588389846,5.208333333333337e-05,8.308502813200213e-199
13,8,0.5235987755982988,-0.007020833333333334,1.041666666666666e-05,2.8458862578842457e-05,3.030534282475425e-05,0.00025742513459481255,-0.0013159853248542986,0.0013409269462401863,2.083333333333332e-05,-3.320744804415994e-215
14,8,0.5235987755982988,-0.005395833333333333,-3.468882311377285e-05,-2.4171959121757876e-06,3.477293897697548e-05,0.002291813365732541,0.00022154113742115764,0.0023024962494910123,-6.93776462275457e-05,1.3272362426761193e-231
15,8,0.5235987755982988,-0.009729166666666669,9.021097956087898e-06,-7.999470754490883e-06,1.2057020390017103e-05,0.005344683889980069,0.0019667997490778587,0.005695080959633956,1.8042195912175796e-05,-5.304701648649634e-248
16,8,0.5235987755982988,-0.012041666666666668,3.7853902043912105e-05,-2.4646097956087917e-05,4.517021191461441e-05,-0.0027624992289660916,-0.003511550951297432,0.004467929282519604,7.570780408782421e-05,2.1201846872752265e-264
17,8,0.5235987755982988,-0.012000000000000002,3.812764622754565e-06,3.8127646227545864e-06,5.392063439635859e-06,0.0006639148371417412,-0.0035625930034810524,0.003623927678559424,7.62552924550913e-06,-8.473960282574317e-281
18,8,0.5235987755982988,-0.009229166666666669,1.4229431289421222e-05,-3.812764622754573e-06,1.4731391274719727e-05,-0.001799546286147695,-0.0004486645496846291,0.0018546338490741706,2.8458862578842444e-05,3.386874893570317e-297
19,8,0.5235987755982988,-0.008229166666666668,1.2459742325130784e-21,-1.0416666666666675e-05,1.0416666666666675e-05,0.0005342808399680854,-0.0018105497490778586,0.0018877357892043312,2.491948465026157e-21,-1.35366713583e-313
20,8,0.5235987755982988,-0.001625,9.02109795608788e-06,-5.208333333333319e-06,1.041666666666664e-05,-0.0008170409936926025,0.0011203123072415233,0.0013865985904835691,1.804219591217576e-05,0.0
21,8,0.5235987755982988,0.0005833333333333334,0.0,0.0,0.0,0.0009283250091337423,-0.001402965069796397,0.001682289603383428,0.0,-0.0
22,8,0.5235987755982988,0.0020833333333333333,0.0,0.0,0.0,0.0033031783100678676,0.002441386114155692,0.004107475271562209,0.0,0.0
23,8,0.5235987755982988,0.004895833333333333,0.0,0.0,0.0,0.002869457033053916,8.647156447106226e-05,0.0028707596548657043,0.0,-0.0
24,8,0.5235987755982988,0.0037291666666666667,0.0,0.0,0.0,0.0023324780591457268,0.0028320379619481027,0.0036689089542139607,0.0,0.0
25,8,0.5235987755982988,0.0026458333333333334,0.0,0.0,0.0,0.001999398816047911,0.00134375,0.002408995576607352,0.0,-0.0
26,8,0.5235987755982988,0.011541666666666667,0.0,0.0,0.0,0.0024606162902834554,0.0005783915503393387,0.0025276806193647683,0.0,0.0
27,8,0.5235987755982988,0.011229166666666665,0.0,0.0,0.0,-0.003362339684279443,-0.0003995190528383294,0.0033859922660958957,0.0,-0.0
28,8,0.5235987755982988,0.005104166666666666,0.0,0.0,0.0,-0.0026355240578363093,0.00047856548271457786,0.002678621283548647,0.0,0.0
29,8,0.5235987755982988,0.008020833333333333,0.0,0.0,0.0,-0.0021987575531656834,-0.0009891825440319403,0.0024110198844100486,0.0,-0.0
30,8,0.5235987755982988,0.0012708333333333339,0.0,0.0,0.0,-0.0016877933981317497,-0.0005330928597524981,0.0017699815117385308,0.0,0.0
31,8,0.5235987755982988,-0.0046875,0.0,0.0,0.0,0.0015736108540998087,0.0008855633657325414,0.0018056781537329062,0.0,-0.0
32,8,0.5235987755982988,-0.005916666666666666,0.0,0.0,0.0,-0.0011567974883672674,-0.00030168254403194054,0.001195488513732525,0.0,0.0
33,8,0.5235987755982988,-0.0019166666666666666,0.0,0.0,0.0,0.000420151991520966,-0.0020089209006307392,0.0020523866304792706,0.0,-0.0
34,8,0.5235987755982988,-0.0017500000000000005,0.0,0.0,0.0,0.0022182955151137857,0.0015482365270738725,0.002705156434689074,0.0,0.0
35,8,0.5235987755982988,0.0008541666666666663,0.0,0.0,0.0,-0.00025572897390818987,-0.0022667861324231777,0.0022811656402467054,0.0,-0.0
36,8,0.5235987755982988,0.0036875,0.0,0.0,0.0,-0.00130292421983235,-0.0012376867779960137,0.0017970754249757833,0.0,0.0
37,8,0.5235987755982988,0.004458333333333334,0.0,0.0,0.0,0.0016261486723193558,-0.0005407720845828285,0.0017137076623362753,0.0,-0.0
38,8,0.5235987755982988,0.002125000000000001,0.0,0.0,0.0,0.0022695772698443344,-0.0003655316110019926,0.002298824556688869,0.0,0.0
39,8,0.5235987755982988,0.0012291666666666673,0.0,0.0,0.0,0.0004844948512734643,-0.0003126466990658743,0.0005766135788786834,0.0,-0.0
40,8,0.5235987755982988,-0.0001666666666666674,0.0,0.0,0.0,-0.007123489846275481,0.0030572648188742545,0.007751836928284554,0.0,0.0
