t,mode_index,q,mean_magnetization,coherent_A_real,coherent_A_imag,coherent_A_abs,direct_coherent_A_plus_real,direct_coherent_A_plus_imag,direct_coherent_A_plus_abs,cosine_amplitude,theory_cosine_amplitude
0,1,0.06544984694978735,-0.0025625,0.024875192475283373,-0.00018518126290975752,0.02487588174884515,0.022234818116267256,-0.004559993167034881,0.022697591818228013,0.049750384950566745,0.05
1,1,0.06544984694978735,-0.006958333333333335,0.015753470225741105,-0.00019441257958235635,0.015754669796743167,0.013351843307639,1.3667286861128143e-05,0.013351850302728624,0.03150694045148221,0.031960476719662616
2,1,0.06544984694978735,0.0024166666666666664,0.009454784069285302,-0.00020643279604102551,0.009457037395299463,0.0062554831759282035,0.000917618504420943,0.006322427815639854,0.018909568138570605,0.020429441442961917
3,1,0.06544984694978735,-0.0044375000000000005,0.0061135374452387205,-0.0004493385562153244,0.006130028159187987,0.00891294460539583,0.002642602634593329,0.009296447182833569,0.012227074890477441,0.013058693752669898
4,1,0.06544984694978735,0.0021250000000000006,0.0037918290253970517,-0.0004521635257674247,0.0038186933906609968,0.005254082229457978,0.0028271885364412404,0.00596643738712566,0.007583658050794103,0.008347241553428196
5,1,0.06544984694978735,0.0006875000000000003,0.0023857252242802836,-0.0005410487063438633,0.0024463071247093193,0.0027246486918598217,-0.0010694249887564155,0.0029270087633333276,0.004771450448560567,0.005335636386834846
6,1,0.06544984694978735,-0.003770833333333333,0.0015147706264432921,-0.00040172588273337963,0.0015671355192175681,0.0027622446468043766,0.001877296855658578,0.0033397962472379986,0.0030295412528865842,0.003410589650520396
7,1,0.06544984694978735,0.0005208333333333333,0.0009162155541585061,-3.110125115961194e-05,0.0009167432734990052,0.003373154378884428,0.002737841876318733,0.004344415795421943,0.0018324311083170123,0.002180081422515587
8,1,0.06544984694978735,-0.00010416666666666619,0.0005243794612262609,-3.651151294354529e-05,0.0005256490368424261,0.0008650945561109124,0.004349655099620545,0.004434849273274996,0.0010487589224525218,0.0013935288310255676
9,1,0.06544984694978735,-0.002104166666666667,0.00032461776021207425,8.573048508689685e-05,0.0003357475335997845,0.004777879532144041,0.003695638640704583,0.006040354111006223,0.0006492355204241485,0.0008907569152434261
10,1,0.06544984694978735,-0.0011458333333333336,0.00023237662808734826,-1.6241079568966774e-06,0.00023238230356010636,0.0018752248857789558,0.00047276291543088355,0.0019339010177492038,0.0004647532561746965,0.00056938031305032
11,1,0.06544984694978735,-0.0012708333333333335,4.150857747185167e-05,3.479234977958599e-05,5.416151407523398e-05,0.0012705630363069908,-0.00146986373759939,0.0019428921319361216,8.301715494370334e-05,0.00036395332479757927
12,1,0.06544984694978735,-0.004395833333333333,-1.7037330090775026e-05,1.905699651255897e-05,2.5562467265538216e-05,-1.6178632216377855e-05,0.0006207461068876871,0.0006209569045888875,-3.407466018155005e-05,0.00023264243528473675
13,1,0.06544984694978735,0.001125,1.2218528726228481e-05,-1.6846816719454078e-05,2.0811239218570047e-05,-0.006929316833774894,0.0032296243787533416,0.007644992178588153,2.4437057452456963e-05,0.00014870726273846888
14,1,0.06544984694978735,-0.004000000000000001,1.2944086096872894e-05,8.742672690739687e-06,1.5619977293858775e-05,-0.006470066214273868,0.00024138168089045552,0.0064745673162735495,2.5888172193745787e-05,9.505510017595173e-05
15,1,0.06544984694978735,-0.005562500000000001,-3.133138708202687e-08,-1.9718049242712775e-05,1.971807413501284e-05,-0.006257253138297702,0.000657116068227107,0.006291662607281059,-6.266277416405374e-08,6.076012632517404e-05
16,1,0.06544984694978735,-0.002979166666666667,2.3771111605094957e-06,-2.2179290281146208e-07,2.387435771105965e-06,-0.004183480764635796,-0.0012489507744182066,0.004365935105449638,4.7542223210189915e-06,3.88384520579897e-05
17,1,0.06544984694978735,0.0022500000000000003,2.0998360375626077e-05,-1.6230537272827095e-06,2.106099337320796e-05,-9.472048468600685e-05,-0.0037184942378643334,0.003719700440526011,4.1996720751252154e-05,2.4825908856542238e-05
18,1,0.06544984694978735,0.003625,2.336939890218105e-05,7.36744696876376e-07,2.3381009340865428e-05,0.0033086255367108072,-0.0007090749622207174,0.003383753868741518,4.67387978043621e-05,1.586895764107968e-05
19,1,0.06544984694978735,0.0017916666666666665,1.9437764622754574e-05,5.208333333333332e-06,2.0123454714355592e-05,0.0040291991666000495,-0.002427719670732814,0.004704069379143295,3.887552924550915e-05,1.0143589025060787e-05
20,1,0.06544984694978735,0.003520833333333334,0.0,0.0,0.0,0.0011069418145198465,-0.005173903037423331,0.005290991667106541,0.0,6.483878817785608e-06
21,1,0.06544984694978735,0.008208333333333333,0.0,0.0,0.0,0.0027614544622420593,-0.001972231911643632,0.003393424444472291,0.0,4.144557160179009e-06
22,1,0.06544984694978735,0.015604166666666667,0.0,0.0,0.0,0.0023323868559224003,0.0018493736730256956,0.0029766107283553445,0.0,2.6492404526242444e-06
23,1,0.06544984694978735,0.008479166666666666,0.0,0.0,0.0,0.005366215807258665,-0.0016531452776757621,0.005615083383100775,0.0,1.6934197562177119e-06
24,1,0.06544984694978735,0.006541666666666668,0.0,0.0,0.0,0.007894156920162619,0.0005101906021196466,0.007910626266651875,0.0,1.0824500539042585e-06
25,1,0.06544984694978735,0.008354166666666666,0.0,0.0,0.0,0.00472728334296774,-0.000611748494059957,0.004766701587542992,0.0,6.919123949600918e-07
26,1,0.06544984694978735,0.0038125,0.0,0.0,0.0,0.0036294859423459482,-0.0014594414066118986,0.003911922471754798,0.0,4.4227699982336037e-07
27,1,0.06544984694978735,0.005083333333333334,0.0,0.0,0.0,0.002105785204578844,0.000676308290193628,0.002211724266541332,0.0,2.8270767512993465e-07
28,1,0.06544984694978735,0.005208333333333333,0.0,0.0,0.0,0.0021374109298977484,-0.00228180745926933,0.003126526949255917,0.0,1.8070944138920433e-07
29,1,0.06544984694978735,0.010895833333333334,0.0,0.0,0.0,0.0011572714013629395,0.0019143055601566683,0.002236927105218066,0.0,1.1551119789085802e-07
30,1,0.06544984694978735,0.006187499999999999,0.0,0.0,0.0,-0.0003069542178115843,-0.0017185418915507955,0.0017457397070718497,0.0,7.383585902102217e-08
31,1,0.06544984694978735,0.003645833333333333,0.0,0.0,0.0,0.0014875214883657787,-8.579676485219166e-05,0.0014899937124729901,0.0,4.719658506635339e-08
32,1,0.06544984694978735,0.0049583333333333346,0.0,0.0,0.0,0.004078787372258395,6.837128502489454e-05,0.004079360373969245,0.0,3.0168507165215274e-08
33,1,0.06544984694978735,0.0031041666666666665,0.0,0.0,0.0,-0.0009842315532645985,0.001356551039520867,0.0016759899979614404,0.0,1.9283997418416748e-08
34,1,0.06544984694978735,0.0034791666666666673,0.0,0.0,0.0,-0.0013726423835814605,0.0036430753261730746,0.0038930893831731176,0.0,1.2326515011066849e-08
35,1,0.06544984694978735,0.0037499999999999994,0.0,0.0,0.0,0.001040478880068839,0.004238594408047884,0.004364433394589049,0.0,7.879225920915475e-09
36,1,0.06544984694978735,0.003625,0.0,0.0,0.0,0.005690085273662601,0.006680179459762195,0.00877507082798656,0.0,5.036476332287625e-09
37,1,0.06544984694978735,-0.0013124999999999992,0.0,0.0,0.0,0.0016272748217139486,0.004766963973166905,0.005037059545692841,0.0,3.2193636913442074e-09
38,1,0.06544984694978735,-0.0009166666666666668,0.0,0.0,0.0,-0.000619115740959535,0.001242386558953068,0.0013881025403662077,0.0,2.0578479661866723e-09
39,1,0.06544984694978735,-0.0035,0.0,0.0,0.0,0.0030471002762504367,-0.00037410037355695955,0.0030699790199642967,0.0,1.315396040318284e-09
40,1,0.06544984694978735,-0.009145833333333334,0.0,0.0,0.0,0.00015864159122016037,0.0003631098724598244,0.0003962523614347988,0.0,8.408136904745779e-10
