dynamics,t,theory_norm_mean,theory_norm_se,amp_mean,amp_se,amp_norm_mean,amp_norm_se
gaussian_map,0,1.0,0.0,0.05006094170253928,0.00020378652543581112,1.0,0.0
gaussian_map,1,0.4277115506479661,1.6737241846796126e-17,0.02106414879328562,0.00014221919157590885,0.4208179895683572,0.002966815422835418
gaussian_map,2,0.18293717055768774,0.0,0.008863541600941905,8.8918125878204e-05,0.17705635406319686,0.0016322725100144356
gaussian_map,3,0.0782443408903801,4.1843104616990316e-18,0.003916167555990015,0.00010532909318028195,0.07822648472466977,0.002071942691002497
gaussian_map,4,0.033466008371652534,0.0,0.001630418453160529,6.85043307119765e-05,0.032569818769975,0.0013623129503070174
gaussian_map,5,0.014313798334637326,1.0460776154247579e-18,0.0007739378711126404,5.5775955822713614e-05,0.015451153615927346,0.0010968198645317276
gaussian_map,6,0.006122176881370005,0.0,0.00027266806287394737,6.632490311439109e-05,0.005447993016043984,0.001313600927946165
gaussian_map,7,0.002618525767271895,1.3075970192809474e-19,6.992666484844525e-05,5.8233084673934954e-05,0.0013800363216064824,0.0011658631687600314
gaussian_map,8,0.0011199737163315176,6.537985096404737e-20,-5.516299079330345e-05,4.0294538221035784e-05,-0.0011171080211272732,0.0007981277506228652
gaussian_map,9,0.00047902569489711885,3.2689925482023684e-20,-2.50540785113979e-05,2.843612718192308e-05,-0.0004974038714797854,0.0005695792226735693
gaussian_map,10,0.00020488482276466612,1.6344962741011842e-20,-3.4124184470509e-05,2.720082617144198e-05,-0.0006755197761638077,0.0005451948311413606
gaussian_map,11,8.763160524890907e-05,8.172481370505921e-21,-5.6344320819771676e-05,2.6263170480077387e-05,-0.0011222006704602171,0.000528435544584697
gaussian_map,12,3.748104976678136e-05,0.0,-2.8540054698015914e-05,2.0035541454748232e-05,-0.0005688308976178298,0.000401525800394376
gaussian_map,13,1.6031077915663646e-05,0.0,-8.761351826848611e-06,1.2863397000667894e-05,-0.000174412928797669,0.00025610263977904167
gaussian_map,14,6.856677193866864e-06,0.0,-2.2863329381958966e-06,2.0023387906885342e-05,-4.5917286012077473e-05,0.0003978312042870539
gaussian_map,15,2.9326800348813417e-06,0.0,-5.030916068099705e-06,9.879247764187235e-06,-0.00010167390077834876,0.00019744710245503774
gaussian_map,16,1.25434112527343e-06,6.384751070707751e-23,7.779229846843558e-06,8.014939624005318e-06,0.00015637476600038964,0.00016045768452584264
gaussian_map,17,5.364961877322137e-07,3.1923755353538754e-23,4.15546828939045e-07,7.3007676180504295e-06,8.650944921609114e-06,0.0001458388418711202
gaussian_map,18,2.2946561637166737e-07,2.394281651515407e-23,9.006212552119807e-07,7.470029141121369e-06,2.0755327825822193e-05,0.00014910180156896293
gaussian_map,19,9.814509459871724e-08,3.990469419192344e-24,4.146170490353292e-06,4.964768741759903e-06,8.148846070887372e-05,9.903491400957675e-05
gaussian_map,20,4.1977790599308665e-08,0.0,9.167303702077398e-06,2.964738925693112e-06,0.00018305680194248585,5.927322496108188e-05
gaussian_map,21,1.795438591000593e-08,0.0,-4.5440589758957495e-07,5.431635934579764e-06,-1.1023196285981458e-05,0.00010911779516687533
gaussian_map,22,7.679298238500633e-09,4.98808677399043e-25,1.0387392586309875e-06,3.541176174703967e-06,2.123550842803589e-05,7.086654331027337e-05
gaussian_map,23,3.284524557477301e-09,2.494043386995215e-25,2.0471790276421487e-06,2.944271598423161e-06,4.2100866929147e-05,5.966886335103446e-05
gaussian_map,24,1.404829091619941e-09,6.235108467488038e-26,3.7194791494468414e-07,1.154193469836288e-06,7.20325363736051e-06,2.2968809920370358e-05
gaussian_map,25,6.008616291721387e-10,0.0,-9.141506424488373e-07,1.070948610464391e-06,-1.8699333323657814e-05,2.1768007700575633e-05
gaussian_map,26,2.569954591380786e-10,1.5587771168720095e-26,-2.4066742978866686e-06,1.7274924343201904e-06,-4.795120188053069e-05,3.424835613966111e-05
gaussian_map,27,1.0991992633743368e-10,3.896942792180024e-27,5.473317640799064e-07,4.384935785126588e-07,1.1066673620673434e-05,8.912337485228168e-06
gaussian_map,28,4.701402214089397e-11,0.0,-3.32190479483585e-07,3.3219047948358504e-07,-6.547608085983764e-06,6.547608085983766e-06
gaussian_map,29,2.0108440312079577e-11,9.74235698045006e-28,-4.3402777777777775e-07,4.340277777777777e-07,-8.55486223367148e-06,8.554862233671478e-06
gaussian_map,30,8.600612186991628e-12,0.0,0.0,0.0,0.0,0.0
gaussian_map,31,3.678581175019985e-12,2.435589245112515e-28,0.0,0.0,0.0,0.0
gaussian_map,32,1.5733716585522144e-12,1.8266919338343863e-28,0.0,0.0,0.0,0.0
gaussian_map,33,6.729492318249304e-13,3.0444865563906435e-29,0.0,0.0,0.0,0.0
gaussian_map,34,2.878281594511986e-13,0.0,0.0,0.0,0.0,0.0
gaussian_map,35,1.2310742839902223e-13,0.0,0.0,0.0,0.0,0.0
gaussian_map,36,5.265446909682924e-14,5.708412293232457e-30,0.0,0.0,0.0,0.0
gaussian_map,37,2.2520924625950257e-14,9.514020488720761e-31,0.0,0.0,0.0,0.0
gaussian_map,38,9.632459593791153e-15,0.0,0.0,0.0,0.0,0.0
gaussian_map,39,4.119914229414292e-15,2.3785051221801903e-31,0.0,0.0,0.0,0.0
gaussian_map,40,1.762134903599408e-15,5.946262805450476e-32,0.0,0.0,0.0,0.0
