sweep_parameter,sweep_value,dynamics,t,theory_norm_mean,theory_norm_se,amp_mean,amp_se,amp_norm_mean,amp_norm_se,R,B,h,phi_bar,delta_h_minus_phi,m_star,Lambda_star,mu,sigma_eff
R,6.0,gaussian_map,30,9.431833162561563e-07,8.003709038260604e-23,0.0,0.0,0.0,0.0,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,31,5.939492163859999e-07,0.0,0.0,0.0,0.0,0.0,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,32,3.740266240563292e-07,0.0,0.0,0.0,0.0,0.0,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,33,2.355351461766355e-07,0.0,0.0,0.0,0.0,0.0,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,34,1.4832314470772577e-07,0.0,0.0,0.0,0.0,0.0,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,35,9.340328020299199e-08,0.0,0.0,0.0,0.0,0.0,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,36,5.881868787147022e-08,0.0,0.0,0.0,0.0,0.0,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,37,3.7039791701133596e-08,0.0,0.0,0.0,0.0,0.0,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,38,2.332500466962682e-08,1.2505795372282194e-24,0.0,0.0,0.0,0.0,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,39,1.4688415292072556e-08,6.252897686141097e-25,0.0,0.0,0.0,0.0,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
