sweep_parameter,sweep_value,dynamics,mode_index,q,q_over_pi,kernel_hat,lambda_theory,lambda_ratio_mean,lambda_ratio_std,n_seed,lambda_ratio_se,R,B,h,phi_bar,delta_h_minus_phi,m_star,Lambda_star,mu,sigma_eff
B,0.4,microscopic,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-2.2204460492503132e-17,0.006010056718416976,0.03190734617842899,8,0.011280950426216905,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.6,gaussian_map,0,0.0,0.0,1.0,0.6,1.0,0.0,8,0.0,12,0.6,0.0,0.0,0.0,0.0,0.6,0.15999280278015515,0.2127596452964393
B,0.6,gaussian_map,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.5326746119943768,0.8769308472494545,0.01265827339309576,8,0.00447537547718563,12,0.6,0.0,0.0,0.0,0.0,0.6,0.15999280278015515,0.2127596452964393
B,0.6,gaussian_map,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.3564262922066385,0.596892486314917,0.015804841718556794,8,0.005587855377385778,12,0.6,0.0,0.0,0.0,0.0,0.6,0.15999280278015515,0.2127596452964393
B,0.6,gaussian_map,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.04999999999999994,-0.0823683498747093,0.013091444618787302,8,0.004628524632736318,12,0.6,0.0,0.0,0.0,0.0,0.6,0.15999280278015515,0.2127596452964393
B,0.6,gaussian_map,6,0.39269908169872414,0.125,-0.2511391455052437,-0.1506834873031462,-0.25490677474994017,0.015402661927717172,8,0.005445663348706336,12,0.6,0.0,0.0,0.0,0.0,0.6,0.15999280278015515,0.2127596452964393
B,0.6,gaussian_map,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-3.3306690738754695e-17,-0.0030019756148069107,0.018317388835247285,8,0.006476174929517055,12,0.6,0.0,0.0,0.0,0.0,0.6,0.15999280278015515,0.2127596452964393
B,0.6,microscopic,0,0.0,0.0,1.0,0.6,1.0,0.0,8,0.0,12,0.6,0.0,0.0,0.0,0.0,0.6,0.15999280278015515,0.2127596452964393
B,0.6,microscopic,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.5326746119943768,0.8906184445515897,0.03716522989987885,8,0.013139893043280684,12,0.6,0.0,0.0,0.0,0.0,0.6,0.15999280278015515,0.2127596452964393
B,0.6,microscopic,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.3564262922066385,0.6169667578185212,0.04991103868750947,8,0.01764621695600103,12,0.6,0.0,0.0,0.0,0.0,0.6,0.15999280278015515,0.2127596452964393
B,0.6,microscopic,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.04999999999999994,-0.06062657826497907,0.022365271190435267,8,0.007907317460916453,12,0.6,0.0,0.0,0.0,0.0,0.6,0.15999280278015515,0.2127596452964393
B,0.6,microscopic,6,0.39269908169872414,0.125,-0.2511391455052437,-0.1506834873031462,-0.24552589331582686,0.015225541605136405,8,0.005383041858114931,12,0.6,0.0,0.0,0.0,0.0,0.6,0.15999280278015515,0.2127596452964393
B,0.6,microscopic,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-3.3306690738754695e-17,0.009542359350879178,0.03258755827054236,8,0.011521441717706131,12,0.6,0.0,0.0,0.0,0.0,0.6,0.15999280278015515,0.2127596452964393
B,0.8,gaussian_map,0,0.0,0.0,1.0,0.8,1.0,0.0,8,0.0,12,0.8,0.0,0.0,0.0,0.0,0.8,0.2133237370402069,0.2127596452964393
B,0.8,gaussian_map,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.7102328159925025,0.8914004165616811,0.009395795048453455,8,0.0033219151967002116,12,0.8,0.0,0.0,0.0,0.0,0.8,0.2133237370402069,0.2127596452964393
B,0.8,gaussian_map,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.47523505627551804,0.5942835494070033,0.00565962348581615,8,0.002000979072891623,12,0.8,0.0,0.0,0.0,0.0,0.8,0.2133237370402069,0.2127596452964393
B,0.8,gaussian_map,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.06666666666666658,-0.08671376931810272,0.00917997843956634,8,0.0032456125028818296,12,0.8,0.0,0.0,0.0,0.0,0.8,0.2133237370402069,0.2127596452964393
B,0.8,gaussian_map,6,0.39269908169872414,0.125,-0.2511391455052437,-0.20091131640419496,-0.25005544790287476,0.008709902003642784,8,0.003079415385123055,12,0.8,0.0,0.0,0.0,0.0,0.8,0.2133237370402069,0.2127596452964393
B,0.8,gaussian_map,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-4.4408920985006264e-17,0.002151637054647032,0.009538309766256787,8,0.0033723017583890233,12,0.8,0.0,0.0,0.0,0.0,0.8,0.2133237370402069,0.2127596452964393
B,0.8,microscopic,0,0.0,0.0,1.0,0.8,1.0,0.0,8,0.0,12,0.8,0.0,0.0,0.0,0.0,0.8,0.2133237370402069,0.2127596452964393
B,0.8,microscopic,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.7102328159925025,0.8945914645402813,0.010135759738325258,8,0.003583532221723688,12,0.8,0.0,0.0,0.0,0.0,0.8,0.2133237370402069,0.2127596452964393
B,0.8,microscopic,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.47523505627551804,0.6134511092931236,0.02373437170466382,8,0.008391367589784952,12,0.8,0.0,0.0,0.0,0.0,0.8,0.2133237370402069,0.2127596452964393
B,0.8,microscopic,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.06666666666666658,-0.07987702592729204,0.02102157261200702,8,0.007432248272577784,12,0.8,0.0,0.0,0.0,0.0,0.8,0.2133237370402069,0.2127596452964393
B,0.8,microscopic,6,0.39269908169872414,0.125,-0.2511391455052437,-0.20091131640419496,-0.24546698179813012,0.022838793590540998,8,0.008074732910995698,12,0.8,0.0,0.0,0.0,0.0,0.8,0.2133237370402069,0.2127596452964393
