epsilon,dynamics,mode_index,lambda_theory,lambda_fit_mean,lambda_fit_se,fit_r2_mean
0.02,gaussian_map,2,0.4277115506479662,0.41862047166232436,0.005003463120467878,0.99558701336016
0.02,microscopic,2,0.4277115506479662,0.41038556031851753,0.004129412308569535,0.920862373226468
0.05,gaussian_map,2,0.4277115506479662,0.4225831078995786,0.002108330785055925,0.9986041042507106
0.05,microscopic,2,0.4277115506479662,0.4190118524979968,0.003790243816725917,0.9679190917309104
0.08,gaussian_map,2,0.4277115506479662,0.42299350647778483,0.0021206761603016554,0.9994356587155665
0.08,microscopic,2,0.4277115506479662,0.4186745266429759,0.002166921708277375,0.9874264057669011
