sweep_parameter,sweep_value,dynamics,R,B,h,phi_bar,delta_h_minus_phi,m_star,Lambda_star,mu,sigma_eff,n_seeds
R,6.0,gaussian_map,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977,8
R,6.0,microscopic,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977,8
R,12.0,gaussian_map,12,0.72,0.0,0.0,0.0,0.0,0.72,0.1919913633361862,0.2127596452964393,8
R,12.0,microscopic,12,0.72,0.0,0.0,0.0,0.0,0.72,0.1919913633361862,0.2127596452964393,8
R,18.0,gaussian_map,18,0.72,0.0,0.0,0.0,0.0,0.72,0.1598466453910254,0.1771377367411523,8
R,18.0,microscopic,18,0.72,0.0,0.0,0.0,0.0,0.72,0.1598466453910254,0.1771377367411523,8
R,24.0,gaussian_map,24,0.72,0.0,0.0,0.0,0.0,0.72,0.14105347661898512,0.15631165450257806,8
R,24.0,microscopic,24,0.72,0.0,0.0,0.0,0.0,0.72,0.14105347661898512,0.15631165450257806,8
