dynamics,seed_index,seed,mode_index,q,q_over_pi,kernel_hat,lambda_theory,lambda_fit,fit_r2,A0,A1
gaussian_map,0,20260801,0,0.0,0.0,1.0,0.72,0.7014530124287707,0.9995722031870143,0.049765624999999994,0.034796875000000005
gaussian_map,0,20260801,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.6392095343932522,0.6167405828257714,0.997030845887945,0.0499299575829419,0.030410315667493835
gaussian_map,0,20260801,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.4277115506479662,0.41838081236732483,0.9988190876239663,0.05098416554883576,0.021469425250200947
gaussian_map,0,20260801,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.05999999999999992,-0.06049644538222789,0.9540427547251293,0.0501759293985499,-0.0030653760120473404
gaussian_map,0,20260801,6,0.39269908169872414,0.125,-0.2511391455052437,-0.18082018476377545,-0.18026835641738514,0.9962762822775468,0.04930774601263278,-0.00893901526935532
gaussian_map,0,20260801,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-3.9968028886505634e-17,-0.013158126442268213,0.4139575687336142,0.05067237547013196,-0.0006695311536207614
gaussian_map,1,20260802,0,0.0,0.0,1.0,0.72,0.7069348339050183,0.9999766468505058,0.04866145833333333,0.03440104166666667
gaussian_map,1,20260802,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.6392095343932522,0.6282958155411857,0.9997616608150661,0.04988811912087639,0.03145691298528582
gaussian_map,1,20260802,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.4277115506479662,0.4278880696061176,0.9979403191916142,0.04913481349710053,0.02108690543940241
gaussian_map,1,20260802,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.05999999999999992,-0.05138519636839646,0.9457500630211275,0.05132313244335256,-0.002618924910042112
gaussian_map,1,20260802,6,0.39269908169872414,0.125,-0.2511391455052437,-0.18082018476377545,-0.16415045941090214,0.9988192692266786,0.04975772922514014,-0.00819037703440103
gaussian_map,1,20260802,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-3.9968028886505634e-17,0.0016907858365867578,-0.08106753616670703,0.04862752407058704,8.238505566467342e-05
gaussian_map,2,20260803,0,0.0,0.0,1.0,0.72,0.7063605559794425,0.9997759338598787,0.04941145833333333,0.03491145833333333
gaussian_map,2,20260803,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.6392095343932522,0.6285701571490323,0.9995936068063833,0.050452888342397986,0.03173352523045783
gaussian_map,2,20260803,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.4277115506479662,0.4200419625075517,0.9968607885147801,0.05010184714216466,0.02092896308778879
gaussian_map,2,20260803,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.05999999999999992,-0.06011506910862218,0.9856273850606152,0.051275638066182086,-0.0030705110023016486
gaussian_map,2,20260803,6,0.39269908169872414,0.125,-0.2511391455052437,-0.18082018476377545,-0.18376957151178472,0.992307636540169,0.05077201357167084,-0.009247037755140188
gaussian_map,2,20260803,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-3.9968028886505634e-17,-0.014628625642757376,0.9386784763892884,0.05038414762657906,-0.0007368655454451131
gaussian_map,3,20260804,0,0.0,0.0,1.0,0.72,0.7084877774978025,0.999952134785886,0.05040625,0.03578645833333333
gaussian_map,3,20260804,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.6392095343932522,0.6111499242803343,0.998459916767895,0.050720736590624795,0.030611891078694265
gaussian_map,3,20260804,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.4277115506479662,0.4297173710264688,0.9990843305034693,0.050734630894401514,0.021747378594476813
gaussian_map,3,20260804,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.05999999999999992,-0.05659989869075282,0.9838966261519828,0.05082626200666291,-0.002870207184903084
gaussian_map,3,20260804,6,0.39269908169872414,0.125,-0.2511391455052437,-0.18082018476377545,-0.18097831392995814,0.9980191699441204,0.05004261021734533,-0.008992717901035641
gaussian_map,3,20260804,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-3.9968028886505634e-17,5.9052049849910634e-05,-2.537328184366521,0.05046471667028364,1.7695102195603026e-06
gaussian_map,4,20260805,0,0.0,0.0,1.0,0.72,0.7125794641725367,0.9992428199997683,0.05001041666666667,0.035859375
gaussian_map,4,20260805,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.6392095343932522,0.6294204261308554,0.9992653197642393,0.049809506326452715,0.031603749532886756
