sweep_parameter,sweep_value,dynamics,mode_index,q,q_over_pi,kernel_hat,lambda_theory,lambda_fit_mean,lambda_fit_std,fit_r2_mean,fit_r2_std,A0_mean,A1_mean,A1_std,n_seed,lambda_fit_se,A1_se,relative_error,unreliable,R,B,h,phi_bar,delta_h_minus_phi,m_star,Lambda_star,mu,sigma_eff
R,6.0,gaussian_map,0,0.0,0.0,1.0,0.72,0.6942076768677974,0.005819250109361844,0.9990862827152112,0.0004346707708241741,0.049951822916666666,0.03476627604166667,0.00016461811859269732,8,0.002057415606875159,5.820129398153377e-05,0.03582267101694804,False,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,1,0.06544984694978735,0.020833333333333332,0.9678040922185175,0.6968189463973326,0.6727095058664686,0.008537400902122828,0.9991762349119656,0.0005000198812790429,0.05002837194003666,0.03376580694430462,0.0005257954374788225,8,0.0030184270357996,0.00018589675967911138,0.03459928960817395,False,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,2,0.1308996938995747,0.041666666666666664,0.874622624239398,0.6297282894523665,0.6091961693514958,0.008502419505651821,0.9991502510084863,0.0008357385570461792,0.04976309847268512,0.030317520087400594,0.000600152724061887,8,0.003006059244469588,0.00021218603046586958,0.032604728808874266,False,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,4,0.2617993877991494,0.08333333333333333,0.5496461760604293,0.3957452467635091,0.3801070613378899,0.006621589316673675,0.9988411897513629,0.0003741728481032022,0.04999372184550292,0.019034663705608912,0.00023013073571078127,8,0.002341085354026176,8.13635018902713e-05,0.039515788385360705,False,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,6,0.39269908169872414,0.125,0.15397992208521458,0.11086554390135449,0.10636063909953015,0.004299113395322208,0.9861815571104378,0.006627449811174062,0.05000994648348862,0.005308393640717023,0.0001756095622912675,8,0.001519966117461128,6.208735616867834e-05,0.040633948504620064,False,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,gaussian_map,8,0.5235987755982988,0.16666666666666666,-0.16666666666666657,-0.11999999999999993,-0.11664445382555207,0.015103143537144311,0.9832911639014047,0.011704867576369907,0.049746740501863486,-0.005789958157700623,0.0007558850388548873,8,0.0053397676061742606,0.00026724571838587384,0.027962884787065517,False,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,microscopic,0,0.0,0.0,1.0,0.72,0.6972433991309029,0.012486479975110192,0.9931484493519033,0.006490565440106631,0.049951822916666666,0.034746744791666666,0.0007923856066472822,8,0.004414637331775224,0.0002801506178874547,0.0316063900959681,False,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,microscopic,1,0.06544984694978735,0.020833333333333332,0.9678040922185175,0.6968189463973326,0.6653334188735484,0.018790382966008396,0.9864669055880495,0.005325769682307831,0.05002837194003666,0.0332524277233942,0.0014000476968280436,8,0.0066434036081783636,0.0004949916102058586,0.045184660501224175,False,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,microscopic,2,0.1308996938995747,0.041666666666666664,0.874622624239398,0.6297282894523665,0.6171209667871149,0.012606414683680225,0.9849316726265464,0.01395166328896765,0.04976309847268512,0.030915967136890782,0.0006537333739303384,8,0.004457040654639976,0.0002311296508970516,0.020020257746742355,False,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,microscopic,4,0.2617993877991494,0.08333333333333333,0.5496461760604293,0.3957452467635091,0.37895188987843853,0.015346875886275438,0.9775381502531161,0.016593924552485435,0.04999372184550292,0.018927833218460328,0.0009047852757181873,8,0.005425940004606834,0.0003198899019890351,0.04243476585609123,False,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
