dynamics,t,theory_norm_mean,theory_norm_se,amp_mean,amp_se,amp_norm_mean,amp_norm_se
microscopic,0,1.0,0.0,0.05006094170253928,0.00020378652543581112,1.0,0.0
microscopic,1,0.4277115506479661,1.6737241846796126e-17,0.021016970182561375,0.0002241086805831481,0.41989380342906163,0.004729375049503339
microscopic,2,0.18293717055768774,0.0,0.008725569381605304,0.0003420955642860021,0.1743247443886776,0.006840575164583649
microscopic,3,0.0782443408903801,4.1843104616990316e-18,0.0034554439666541425,0.0003770361710002558,0.0689691183976251,0.007530158835976029
microscopic,4,0.033466008371652534,0.0,0.0017094746679882852,0.0004103348060280443,0.03414000364557179,0.00820136174995942
microscopic,5,0.014313798334637326,1.0460776154247579e-18,0.0001057254400799814,0.00057155054093341,0.0023387581328724195,0.011300087937569026
microscopic,6,0.006122176881370005,0.0,0.001320915794327338,0.0006115653857886221,0.02639638175410269,0.012285454840869285
microscopic,7,0.002618525767271895,1.3075970192809474e-19,0.00011757260735031611,0.00051765265472609,0.0023564278372130883,0.010350349152980151
microscopic,8,0.0011199737163315176,6.537985096404737e-20,-0.0008489579242753031,0.0008463652930118884,-0.017212438749354537,0.017076584094834046
microscopic,9,0.00047902569489711885,3.2689925482023684e-20,-0.0005292972006128282,0.0005659511815428095,-0.010658164149812493,0.011247795788211503
microscopic,10,0.00020488482276466612,1.6344962741011842e-20,-0.0006043656279427652,0.0006197592790781832,-0.012239745883078369,0.012542068807645875
microscopic,11,8.763160524890907e-05,8.172481370505921e-21,-0.00017069666912638385,0.000959309609277837,-0.0037135605721281433,0.019219855608256623
microscopic,12,3.748104976678136e-05,0.0,0.0004476353974748649,0.0008429994480468467,0.009168657428423465,0.01703892074904205
microscopic,13,1.6031077915663646e-05,0.0,-0.0002558883764406025,0.0004787689341956248,-0.005063301540476347,0.009531110972009201
microscopic,14,6.856677193866864e-06,0.0,-0.0007952541689451657,0.000500687574345168,-0.0160209893319461,0.010027588348300698
microscopic,15,2.9326800348813417e-06,0.0,-6.475799869562291e-05,0.0004567517787567507,-0.0011204171829106687,0.009106450727988914
microscopic,16,1.25434112527343e-06,6.384751070707751e-23,0.0006574389499235359,0.0006032139224313584,0.013199196773711832,0.012150090263401806
microscopic,17,5.364961877322137e-07,3.1923755353538754e-23,0.0008698050404163917,0.0007555292816355321,0.017399025635912262,0.01514104734249284
microscopic,18,2.2946561637166737e-07,2.394281651515407e-23,-0.0001688340323219413,0.0007552095836429129,-0.002952596142144541,0.01513773718073648
microscopic,19,9.814509459871724e-08,3.990469419192344e-24,0.0003351454127962176,0.0007614825499805944,0.007135069837262517,0.01526376459324158
microscopic,20,4.1977790599308665e-08,0.0,-0.0006537931737846231,0.0007100959567996083,-0.012722548680515353,0.01421743006597077
microscopic,21,1.795438591000593e-08,0.0,-0.00031352142759750486,0.0007358725647408159,-0.006466986227181302,0.014634198853991484
microscopic,22,7.679298238500633e-09,4.98808677399043e-25,-0.00013665381585140367,0.000776691590832792,-0.002898740233977961,0.015473380429595165
microscopic,23,3.284524557477301e-09,2.494043386995215e-25,-0.00024970680402089536,0.0006900640203162544,-0.004864933295119724,0.01375366320829026
microscopic,24,1.404829091619941e-09,6.235108467488038e-26,0.0006799646548860555,0.0006526674935249978,0.013509857372959955,0.013015393794954767
microscopic,25,6.008616291721387e-10,0.0,-0.000991171659448104,0.0007848810026060215,-0.0200830203419944,0.015731287652961973
microscopic,26,2.569954591380786e-10,1.5587771168720095e-26,-0.0005322750694958029,0.0006292497982580332,-0.010899225030174107,0.012736666676600636
microscopic,27,1.0991992633743368e-10,3.896942792180024e-27,-0.000416036963207021,0.0006926253905758061,-0.008559921033785244,0.013867402519902596
microscopic,28,4.701402214089397e-11,0.0,-0.0008844911800157768,0.000452250812754667,-0.017690919733093075,0.008998379865851863
microscopic,29,2.0108440312079577e-11,9.74235698045006e-28,0.000300703495732753,0.0007664746205236639,0.005947358753674266,0.015215897556636463
microscopic,30,8.600612186991628e-12,0.0,0.0008963454763630408,0.0008475041817054677,0.017591449831083062,0.01686509880273823
microscopic,31,3.678581175019985e-12,2.435589245112515e-28,0.0005917853403391273,0.0004912988923765521,0.011860040634372475,0.009738111000512266
microscopic,32,1.5733716585522144e-12,1.8266919338343863e-28,0.0005835539475939343,0.0005561869325525096,0.011463436816871406,0.011193261412303828
microscopic,33,6.729492318249304e-13,3.0444865563906435e-29,1.829392209855126e-05,0.0007415148828144185,0.00023694780119716424,0.014997208362774206
microscopic,34,2.878281594511986e-13,0.0,0.0003886582524679424,0.0006165331594357906,0.007847038610944122,0.012348253750323024
microscopic,35,1.2310742839902223e-13,0.0,0.0005095359656906419,0.0008330479651771289,0.010424139961923201,0.016551897650334716
microscopic,36,5.265446909682924e-14,5.708412293232457e-30,5.757574625237207e-05,0.0008056962937515222,0.0013247735429196602,0.016009345856832183
microscopic,37,2.2520924625950257e-14,9.514020488720761e-31,0.00035835194286703876,0.0008652630286604384,0.0073526102245856555,0.017094140236316592
microscopic,38,9.632459593791153e-15,0.0,0.0011544240769507342,0.0007071930034421817,0.023014554727412453,0.014095024819826035
microscopic,39,4.119914229414292e-15,2.3785051221801903e-31,0.0005785446127163602,0.0004373573643068208,0.011677161264615642,0.008697667396266527
microscopic,40,1.762134903599408e-15,5.946262805450476e-32,0.0007674970311885593,0.0007520578694288902,0.01540153091037722,0.015074003729382153
