sweep_parameter,sweep_value,dynamics,mode_index,q,q_over_pi,kernel_hat,lambda_theory,lambda_fit_mean,lambda_fit_std,fit_r2_mean,fit_r2_std,A0_mean,A1_mean,A1_std,n_seed,lambda_fit_se,A1_se,relative_error,unreliable,R,B,h,phi_bar,delta_h_minus_phi,m_star,Lambda_star,mu,sigma_eff
delta,-0.05,gaussian_map,0,0.0,0.0,1.0,0.562911200236417,0.5692516113644907,0.003906501356327179,0.9992390189476165,0.000751106224882021,0.04987434895833333,0.028227864583333345,0.0003616672281307367,8,0.001381156799886697,0.000127868674772093,0.011263608052941012,False,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,gaussian_map,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.49974750862203743,0.5075017230402887,0.009562888155888752,0.9993058448035307,0.0006475470659155568,0.05028180229761421,0.025574990366776816,0.0006625499022829328,8,0.003380991531378727,0.0002342467643893731,0.015516264282401599,False,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,gaussian_map,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.3343939199030913,0.3377025240304169,0.008220820716819994,0.9985671915766374,0.001859045601290915,0.05007180616218756,0.016872112385470865,0.0005334444239211453,8,0.002906499037891136,0.00018860108477039656,0.00989433099825629,False,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,gaussian_map,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.04690926668636803,-0.04948067017237123,0.006551229990106664,0.9580317511208482,0.025804772894107934,0.04940804385634572,-0.0024388570013190386,0.0003390729979645349,8,0.00231620957555855,0.00011988040808898751,0.05481653557271361,False,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,gaussian_map,6,0.39269908169872414,0.125,-0.2511391455052437,-0.1413690378227049,-0.14238704839215482,0.006847396875050522,0.9970263231473948,0.001698095675865715,0.050119639308595226,-0.007142563319443904,0.00038108971746397103,8,0.0024209203819118993,0.0001347355617296197,0.007201085790274916,False,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,gaussian_map,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-3.1247848766092604e-17,-0.0001067931841675421,0.0065027070980552834,-5.779794309123543,17.479013879334392,0.050145968372365485,-5.442046776447143e-06,0.0003301304441145748,8,0.002299054142552393,0.0001167187378547712,,True,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,microscopic,0,0.0,0.0,1.0,0.562911200236417,0.5652919156585852,0.011290040513608454,0.9900386987337605,0.007526725388958151,0.04987434895833333,0.028284505208333345,0.000298222161413741,8,0.003991632103521695,0.00010543745631788269,0.004229291265066737,False,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,microscopic,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.49974750862203743,0.5097187901738542,0.015708356882393217,0.990577657840801,0.006721958461930036,0.05028180229761421,0.0254225089088017,0.000909935386881022,8,0.005553742836419309,0.0003217107412525876,0.01995263884218413,False,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,microscopic,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.3343939199030913,0.33318411564772077,0.019487431033718236,0.9855692993708544,0.018290043733867938,0.05007180616218756,0.01665910556186856,0.0009655683978962298,8,0.006889847315923668,0.0003413799809259273,0.0036179014729727896,False,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,microscopic,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.04690926668636803,-0.05456065720971422,0.01627407127604722,0.7124546002364109,0.20135130484066657,0.04940804385634572,-0.00268566965424373,0.0007948701429356284,8,0.0057537530784030995,0.00028102903411625157,0.1631104270826238,False,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,microscopic,6,0.39269908169872414,0.125,-0.2511391455052437,-0.1413690378227049,-0.13563912050043456,0.013698455958518267,0.9247234902694977,0.06596019661034097,0.050119639308595226,-0.006852886547783634,0.0006806712750805716,8,0.0048431355500267665,0.000240653637184183,0.04053162849885425,False,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,microscopic,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-3.1247848766092604e-17,0.005660305360898908,0.01700410896236422,-2.1097830272493283,3.0078816817667895,0.050145968372365485,0.0002584250684391247,0.0008701805592175776,8,0.006011860377661344,0.0003076552871397256,,True,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,0.0,gaussian_map,0,0.0,0.0,1.0,0.72,0.704660293409558,0.005469112489999544,0.9988715888102147,0.001039746225408989,0.05022200520833333,0.035399088541666665,0.0005884589431696816,8,0.0019336232643753608,0.0002080516545825755,0.021305148042280453,False,12,0.72,0.0,0.0,0.0,0.0,0.72,0.1919913633361862,0.2127596452964393
delta,0.0,gaussian_map,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.6392095343932522,0.6284340601876376,0.006938534259746045,0.9985086422875974,0.0013135060319244716,0.049975398677400154,0.031405115976194366,0.0007549518216111898,8,0.0024531423132808047,0.0002669157762652045,0.016857499185838794,False,12,0.72,0.0,0.0,0.0,0.0,0.72,0.1919913633361862,0.2127596452964393
delta,0.0,gaussian_map,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.4277115506479662,0.4187582450143116,0.009110069082371827,0.9986647778629353,0.0013007124525999806,0.05007829385631281,0.02096789527624055,0.0006706003528033953,8,0.0032208958126115133,0.00023709302846668597,0.020933046161813237,False,12,0.72,0.0,0.0,0.0,0.0,0.72,0.1919913633361862,0.2127596452964393
delta,0.0,gaussian_map,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.05999999999999992,-0.05862607713887451,0.008637634385943492,0.9740362481418633,0.029388111169737434,0.04994618416468146,-0.0029244867960511413,0.00043731625963990304,8,0.003053864923855372,0.00015461464635725615,0.022898714352090257,False,12,0.72,0.0,0.0,0.0,0.0,0.72,0.1919913633361862,0.2127596452964393
delta,0.0,gaussian_map,6,0.39269908169872414,0.125,-0.2511391455052437,-0.18082018476377545,-0.18046811355593292,0.010508684105758104,0.9979719936396068,0.0015781995522675823,0.050239807013902835,-0.009075272408446258,0.0005082481203378842,8,0.003715380896264423,0.00017969284620811715,0.0019470791289284335,False,12,0.72,0.0,0.0,0.0,0.0,0.72,0.1919913633361862,0.2127596452964393
delta,0.0,gaussian_map,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-3.9968028886505634e-17,0.0027202556916335035,0.007973028276212329,-0.5378843096904785,1.1092122398222988,0.050148468985732754,0.00013769027853892298,0.000403888456906612,8,0.0028188911803509135,0.00014279613336081801,,True,12,0.72,0.0,0.0,0.0,0.0,0.72,0.1919913633361862,0.2127596452964393
delta,0.0,microscopic,0,0.0,0.0,1.0,0.72,0.7095931060803808,0.014866119213851406,0.9900651856782773,0.006177126329184248,0.05022200520833333,0.03551171875,0.0013128623779314792,8,0.005255966853020978,0.00046416694510002245,0.01445401933280435,False,12,0.72,0.0,0.0,0.0,0.0,0.72,0.1919913633361862,0.2127596452964393
