dynamics,t,theory_norm_mean,theory_norm_se,amp_mean,amp_se,amp_norm_mean,amp_norm_se
microscopic,0,1.0,0.0,0.04984581168630936,0.00016879756933432872,1.0,0.0
microscopic,1,-0.1808201847637754,1.6737241846796126e-17,-0.009198348346164191,0.0002732350727381366,-0.18448194908763185,0.005274182387486312
microscopic,2,0.03269593921800589,0.0,0.001674512753258305,0.0003725105167293933,0.03351756261701204,0.007459151993492132
microscopic,3,-0.005912085770424998,2.6151940385618948e-19,-0.0007088817165871924,0.0004234346754052096,-0.014231275894742159,0.008510673501481469
microscopic,4,0.001069024441347536,6.537985096404737e-20,0.0002933812268659775,0.00030820975225815273,0.0059733611222776645,0.006172471601686898
microscopic,5,-0.00019330119700145326,0.0,-0.0002124744561692168,0.0005111591992786927,-0.004148241158055919,0.010238136413517012
microscopic,6,3.495275815686173e-05,2.0431203426264803e-21,-0.00027385362461443825,0.0006440133609790456,-0.005425857772168159,0.01290824235743433
microscopic,7,-6.3201641879272985e-06,0.0,-0.00048389562668003255,0.0005576933390497533,-0.009690547151325937,0.01120425686575013
microscopic,8,1.142813256198411e-06,0.0,-0.00040356550597354755,0.0006850312503056618,-0.00798619085011671,0.013720345740547082
microscopic,9,-2.0664370413628857e-07,0.0,-0.00020380155015694047,0.00025723026276650745,-0.0040621841669226675,0.005145910363781603
microscopic,10,3.736535276219465e-08,1.995234709596172e-24,0.0003681146366105496,0.0006252492387341125,0.0073166770993231866,0.012607134628333856
microscopic,11,-6.756409990223682e-09,4.98808677399043e-25,-0.0004879694949891109,0.0007428578531699673,-0.009762948913637118,0.014899429110013367
microscopic,12,1.2216953027720644e-09,6.235108467488038e-26,-0.0005239912010333785,0.0004734073221353132,-0.010467187497090814,0.009536418131391802
microscopic,13,-2.2090717037228142e-10,2.3381656753080145e-26,-0.0012236186826595314,0.000644052278650564,-0.024580843600912894,0.012949071341522
microscopic,14,3.9944475362358725e-11,0.0,0.00045333303632378734,0.0009609570185022033,0.008911489268793002,0.01936242636471083
microscopic,15,-7.22276741531378e-12,7.306767735337545e-28,-0.00018539606842049065,0.00048282824592768445,-0.0035942951725273357,0.009771682311206778
microscopic,16,1.3060221385428146e-12,1.2177946225562574e-28,0.0002536275908445384,0.0004668872781909397,0.004991437005383311,0.009320833744919484
microscopic,17,-2.361551643968929e-13,1.5222432781953218e-29,-3.143120910838722e-05,0.0006306773854642639,-0.00068338771405107,0.012647405577057713
microscopic,18,4.270162045916596e-14,1.9028040977441522e-30,-0.0007174817231494182,0.0003448468061210578,-0.014384127265220899,0.0068860827475958255
microscopic,19,-7.721314901139002e-15,4.7570102443603805e-31,0.0005079802119693965,0.0006730725466949292,0.010276336776577183,0.01351547145709395
microscopic,20,1.3961695870432474e-15,1.1892525610900951e-31,0.00039541815988375085,0.0006725918049258439,0.007865664961298958,0.013520528784503508
microscopic,21,-2.5245564269072395e-16,1.486565701362619e-32,-0.00021621755699749134,0.0005561729360888141,-0.0041992170559522314,0.01120432245127321
microscopic,22,4.56490759559944e-17,3.716414253406547e-33,0.00056256909250602,0.0005141102474468252,0.011231663875711196,0.010279444645839061
microscopic,23,-8.254274348658524e-18,4.645517816758184e-34,0.00017185083447818664,0.0007036853130791504,0.00347376576253065,0.014171246097910213
microscopic,24,1.4925394128153267e-18,0.0,-0.0003068170721121581,0.0008192364416381987,-0.005879144261564151,0.016424782549004757
microscopic,25,-2.6988125239248436e-19,1.4517243177369325e-35,0.0007087978528943409,0.0006474621932291441,0.014170738772207085,0.013008779834094198
microscopic,26,4.8799977921888125e-20,1.8146553971711657e-36,0.0003296489824325145,0.0007004290134655581,0.006526384390572841,0.014037200550147226
microscopic,27,-8.824021024303976e-21,4.536638492927914e-37,0.00030508183875874027,0.0004807791533025857,0.006090543647964592,0.009573708780405253
microscopic,28,1.5955611119740843e-21,1.701239434847968e-37,-0.0009359964563749335,0.0005839024391403132,-0.018804482131648516,0.011750317426399943
microscopic,29,-2.8850965506904875e-22,2.8353990580799464e-38,-0.0003608330072527288,0.0005574956451329216,-0.00703251135563016,0.011241304059921206
microscopic,30,5.216836913571852e-23,5.3163732338999e-39,-0.0009974250842612925,0.0004684284169875217,-0.020030397434593186,0.009381197138459174
microscopic,31,-9.433094145945465e-24,0.0,0.0004886952446117541,0.000595668741183086,0.009689902741013284,0.01193580265459302
microscopic,32,1.7056938263639474e-24,1.107577757062479e-40,1.4195622558914048e-05,0.000420002588047492,0.0001226063467786876,0.008465064696955122
microscopic,33,-3.0842387283356014e-25,0.0,-4.852615080504685e-05,0.0005131239962593669,-0.0010048216283341232,0.010361879030504383
microscopic,34,5.576926167132355e-26,3.461180490820247e-42,-0.0005619168197260323,0.0006577535553324668,-0.011239811824436861,0.013175911748806857
microscopic,35,-1.0084208199548062e-26,0.0,0.0004901012352253618,0.0006020446650846256,0.01006506835508522,0.012109789200848582
microscopic,36,1.82342838983866e-27,1.0816189033813272e-43,-7.607903097816731e-05,0.00045797205823075096,-0.0015918911512978542,0.009128009015160251
microscopic,37,-3.2971265835414007e-28,1.352023629226659e-44,0.00026335235031761884,0.0006226674494607611,0.0054033507399982375,0.012477128218018324
microscopic,38,5.961870380255117e-29,3.3800590730666475e-45,0.0006540609677803329,0.0005436959926786726,0.013221195318057379,0.010860750882417622
microscopic,39,-1.0780265036954112e-29,1.267522152399993e-45,-0.0009418708518927222,0.0006117478349656468,-0.018888385581947092,0.012378610078699868
microscopic,40,1.9492895157845106e-30,0.0,-0.0006038905122622824,0.000690661195609509,-0.012247031319025985,0.013804171069304082
