sweep_parameter,sweep_value,dynamics,seed_index,seed,mode_index,q,q_over_pi,kernel_hat,lambda_theory,lambda_fit,fit_r2,A0,A1,R,B,h,phi_bar,delta_h_minus_phi,m_star,Lambda_star,mu,sigma_eff
B,0.4,gaussian_map,6,40260807,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.23761752813775902,0.23017229327831917,0.9992469077699411,0.050313072548278,0.01154726578147747,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,6,40260807,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.03333333333333329,-0.0303436501738722,0.9814842109945118,0.04995285917072863,-0.0015202424221687216,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,6,40260807,6,0.39269908169872414,0.125,-0.2511391455052437,-0.10045565820209748,-0.09465905519649763,0.998948522054883,0.05051049157005144,-0.004794082876076158,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,6,40260807,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-2.2204460492503132e-17,0.007071486756819661,0.6189609849579777,0.049925393849996225,0.00035192301761277617,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,7,40260808,0,0.0,0.0,1.0,0.4,0.3961201189216509,0.9997451392112915,0.05029166666666666,0.019859375,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,7,40260808,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.35511640799625127,0.34784370529461517,0.9990905092163863,0.04960324317986906,0.017148820046867956,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,7,40260808,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.23761752813775902,0.24676178659685838,0.9999583172124955,0.050118623388059155,0.012361081071249233,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,7,40260808,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.03333333333333329,-0.034032786635416375,0.9687472493041388,0.05022432214026241,-0.0017017169370516293,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,7,40260808,6,0.39269908169872414,0.125,-0.2511391455052437,-0.10045565820209748,-0.09661914562907996,0.9972589472247622,0.04865337995416842,-0.004708220545815014,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,7,40260808,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-2.2204460492503132e-17,-0.0016443905499346446,-0.17602341584967895,0.049752023083960296,-8.166402043912118e-05,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,0,40260801,0,0.0,0.0,1.0,0.4,0.39519884613851447,0.981226642233343,0.05056770833333333,0.020515625,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,0,40260801,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.35511640799625127,0.3588126284100311,0.9959944356718128,0.051304933694013344,0.018477792058463536,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,0,40260801,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.23761752813775902,0.23653827664917607,0.9883799132485968,0.05024222462257277,0.011768140219625392,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,0,40260801,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.03333333333333329,-0.05203074997559836,-0.3808793072849861,0.05018090646241991,-0.0025880564624945427,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,0,40260801,6,0.39269908169872414,0.125,-0.2511391455052437,-0.10045565820209748,-0.08634281007489127,0.8032931271546663,0.04996702252642615,-0.004162313866845768,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,0,40260801,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-2.2204460492503132e-17,-0.005716815844311409,-0.13331330922087892,0.049826088422946314,-0.0002762152135249523,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,1,40260802,0,0.0,0.0,1.0,0.4,0.392715466499944,0.983203740389356,0.050109375,0.019697916666666666,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,1,40260802,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.35511640799625127,0.3609481670429396,0.9958526156384974,0.049630423611437935,0.017843918447250688,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,1,40260802,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.23761752813775902,0.23932720399455348,0.8678615791074873,0.04995201657399789,0.011608160574399184,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,1,40260802,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.03333333333333329,-0.030172128145712945,0.3356708283115625,0.0491521092179041,-0.0014901873158975924,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,1,40260802,6,0.39269908169872414,0.125,-0.2511391455052437,-0.10045565820209748,-0.07585532972215743,0.7695488520078302,0.05055723348243735,-0.0037152538215348267,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
