sweep_parameter,sweep_value,dynamics,t,theory_norm_mean,theory_norm_se,amp_mean,amp_se,amp_norm_mean,amp_norm_se,R,B,h,phi_bar,delta_h_minus_phi,m_star,Lambda_star,mu,sigma_eff
delta,-0.1,gaussian_map,10,2.9252529388296023e-07,2.000927259565151e-23,1.0350369929922375e-06,1.0327248447468251e-06,2.0174956682194263e-05,2.0128864089843963e-05,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,11,6.498000894032564e-08,0.0,9.12037729464929e-07,2.470557576620355e-06,1.868358415088437e-05,4.896445342662212e-05,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,12,1.4434312690834143e-08,0.0,1.6476131051174228e-06,2.6713082657029844e-06,3.319783677774335e-05,5.310398173830287e-05,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,13,3.206361252552506e-09,0.0,-9.020503239268576e-07,1.5096733164280723e-06,-1.737412413987772e-05,2.9517237680319337e-05,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,14,7.122439912499888e-10,0.0,-1.1066958123778654e-06,8.098180436762709e-07,-2.1710265387993784e-05,1.581944808547489e-05,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,15,1.5821408229277712e-10,0.0,0.0,0.0,0.0,0.0,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,16,3.5144832590044047e-11,2.442538158648866e-27,0.0,0.0,0.0,0.0,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,17,7.806885707534834e-12,0.0,0.0,0.0,0.0,0.0,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,18,1.7341799621426309e-12,0.0,0.0,0.0,0.0,0.0,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,19,3.852214895620205e-13,1.9082329364444266e-29,0.0,0.0,0.0,0.0,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,20,8.557104756131228e-14,0.0,0.0,0.0,0.0,0.0,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,21,1.9008296211786147e-14,0.0,0.0,0.0,0.0,0.0,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,22,4.222401561884801e-15,0.0,0.0,0.0,0.0,0.0,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,23,9.379417676978584e-16,0.0,0.0,0.0,0.0,0.0,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,24,2.0834938285677557e-16,9.317543634982552e-33,0.0,0.0,0.0,0.0,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,25,4.6281620919117496e-17,2.329385908745638e-33,0.0,0.0,0.0,0.0,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,26,1.0280752481870071e-17,0.0,0.0,0.0,0.0,0.0,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,27,2.28371153590731e-18,0.0,0.0,0.0,0.0,0.0,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,28,5.07291503071714e-19,0.0,0.0,0.0,0.0,0.0,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,29,1.1268702944416174e-19,0.0,0.0,0.0,0.0,0.0,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,30,2.503169583574565e-20,1.137395463254706e-36,0.0,0.0,0.0,0.0,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,31,5.5604074355671045e-21,2.843488658136765e-37,0.0,0.0,0.0,0.0,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,32,1.2351592577822218e-21,0.0,0.0,0.0,0.0,0.0,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,33,2.743716912409193e-22,1.7771804113354781e-38,0.0,0.0,0.0,0.0,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,34,6.094746445051168e-23,0.0,0.0,0.0,0.0,0.0,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
