dynamics,seed_index,seed,mode_index,q,q_over_pi,kernel_hat,lambda_theory,lambda_fit,fit_r2,A0,A1
microscopic,0,20260801,0,0.0,0.0,1.0,0.72,0.7013837526607817,0.9751539268016444,0.049765624999999994,0.035604166666666666
microscopic,0,20260801,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.6392095343932522,0.6279486225885003,0.9847154703254862,0.0499299575829419,0.03031273616405847
microscopic,0,20260801,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.4277115506479662,0.41700356583782056,0.9760707534818646,0.05098416554883576,0.02108537767387298
microscopic,0,20260801,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.05999999999999992,-0.05733669566677775,0.06429162712343095,0.0501759293985499,-0.0028413241933717094
microscopic,0,20260801,6,0.39269908169872414,0.125,-0.2511391455052437,-0.18082018476377545,-0.1864581300377799,0.980792775815127,0.04930774601263278,-0.009033418963790604
microscopic,0,20260801,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-3.9968028886505634e-17,0.04233031768494682,0.7736115470390982,0.05067237547013196,0.002165865088063882
microscopic,1,20260802,0,0.0,0.0,1.0,0.72,0.7287547903341655,0.9945812014067783,0.04866145833333333,0.035541666666666666
microscopic,1,20260802,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.6392095343932522,0.657361028727338,0.9982353396549715,0.04988811912087639,0.032761215146597064
microscopic,1,20260802,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.4277115506479662,0.4274878154382954,0.9917745274506483,0.04913481349710053,0.021472748837593154
microscopic,1,20260802,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.05999999999999992,-0.06305285961960148,-0.8183319590440075,0.05132313244335256,-0.003385656353814652
microscopic,1,20260802,6,0.39269908169872414,0.125,-0.2511391455052437,-0.18082018476377545,-0.178129345447308,0.9598343055427457,0.04975772922514014,-0.008917495439425093
microscopic,1,20260802,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-3.9968028886505634e-17,0.031028148548919682,0.5876703937443583,0.04862752407058704,0.0015095417385309444
