sweep_parameter,sweep_value,dynamics,mode_index,q,q_over_pi,kernel_hat,lambda_theory,lambda_ratio_mean,lambda_ratio_std,n_seed,lambda_ratio_se,R,B,h,phi_bar,delta_h_minus_phi,m_star,Lambda_star,mu,sigma_eff
delta,-0.05,microscopic,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.3343939199030913,0.5894374140202168,0.03276500869613508,8,0.011584179917336656,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,microscopic,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.04690926668636803,-0.09688295552367082,0.029978716028880942,8,0.01059907669764378,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,microscopic,6,0.39269908169872414,0.125,-0.2511391455052437,-0.1413690378227049,-0.23974663210045427,0.021300566623605317,8,0.00753088755133358,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,microscopic,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-3.1247848766092604e-17,0.010289325662944208,0.030141900390336915,8,0.010656771081928338,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,0.0,gaussian_map,0,0.0,0.0,1.0,0.72,1.0,0.0,8,0.0,12,0.72,0.0,0.0,0.0,0.0,0.72,0.1919913633361862,0.2127596452964393
delta,0.0,gaussian_map,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.6392095343932522,0.8918640550308481,0.011294865683135103,8,0.003993338058568029,12,0.72,0.0,0.0,0.0,0.0,0.72,0.1919913633361862,0.2127596452964393
delta,0.0,gaussian_map,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.4277115506479662,0.5943155655649374,0.014453692733726181,8,0.005110152072602255,12,0.72,0.0,0.0,0.0,0.0,0.72,0.1919913633361862,0.2127596452964393
delta,0.0,gaussian_map,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.05999999999999992,-0.0831794947280345,0.012095570206559377,8,0.0042764298576880525,12,0.72,0.0,0.0,0.0,0.0,0.72,0.1919913633361862,0.2127596452964393
delta,0.0,gaussian_map,6,0.39269908169872414,0.125,-0.2511391455052437,-0.18082018476377545,-0.25612640191564146,0.01514907727258061,8,0.005356007634080378,12,0.72,0.0,0.0,0.0,0.0,0.72,0.1919913633361862,0.2127596452964393
delta,0.0,gaussian_map,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-3.9968028886505634e-17,0.0038122340174885543,0.011380585455724705,8,0.004023644574807967,12,0.72,0.0,0.0,0.0,0.0,0.72,0.1919913633361862,0.2127596452964393
delta,0.0,microscopic,0,0.0,0.0,1.0,0.72,1.0,0.0,8,0.0,12,0.72,0.0,0.0,0.0,0.0,0.72,0.1919913633361862,0.2127596452964393
delta,0.0,microscopic,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.6392095343932522,0.8828683651453348,0.04203353921042148,8,0.014861100306479833,12,0.72,0.0,0.0,0.0,0.0,0.72,0.1919913633361862,0.2127596452964393
delta,0.0,microscopic,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.4277115506479662,0.5964047755075894,0.018851483530752965,8,0.00666500592001097,12,0.72,0.0,0.0,0.0,0.0,0.72,0.1919913633361862,0.2127596452964393
delta,0.0,microscopic,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.05999999999999992,-0.07317618430136383,0.015365075671761664,8,0.005432374600473559,12,0.72,0.0,0.0,0.0,0.0,0.72,0.1919913633361862,0.2127596452964393
delta,0.0,microscopic,6,0.39269908169872414,0.125,-0.2511391455052437,-0.18082018476377545,-0.2385072763969738,0.02763032440243914,8,0.009768794875674428,12,0.72,0.0,0.0,0.0,0.0,0.72,0.1919913633361862,0.2127596452964393
delta,0.0,microscopic,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-3.9968028886505634e-17,0.0019655351079546687,0.029996700747515,8,0.010605435255895716,12,0.72,0.0,0.0,0.0,0.0,0.72,0.1919913633361862,0.2127596452964393
delta,0.05,gaussian_map,0,0.0,0.0,1.0,0.562911200236417,1.0,0.0,8,0.0,12,0.72,0.05,0.0,0.05,0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,0.05,gaussian_map,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.49974750862203743,0.8965229710931459,0.00811245408640096,8,0.002868185648279318,12,0.72,0.05,0.0,0.05,0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,0.05,gaussian_map,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.3343939199030913,0.5869383372068531,0.004897100531428314,8,0.0017313864969626031,12,0.72,0.05,0.0,0.05,0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,0.05,gaussian_map,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.04690926668636803,-0.08328716354507376,0.01397635375665298,8,0.0049413872587956995,12,0.72,0.05,0.0,0.05,0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,0.05,gaussian_map,6,0.39269908169872414,0.125,-0.2511391455052437,-0.1413690378227049,-0.24442852391598469,0.010094918670516907,8,0.0035690927237245957,12,0.72,0.05,0.0,0.05,0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,0.05,gaussian_map,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-3.1247848766092604e-17,0.0022321161005135043,0.011319486556915802,8,0.004002042851972564,12,0.72,0.05,0.0,0.05,0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,0.05,microscopic,0,0.0,0.0,1.0,0.562911200236417,1.0,0.0,8,0.0,12,0.72,0.05,0.0,0.05,0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,0.05,microscopic,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.49974750862203743,0.8876691982068613,0.0297890846637854,8,0.01053203188555142,12,0.72,0.05,0.0,0.05,0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,0.05,microscopic,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.3343939199030913,0.5852141412136603,0.03319657302461577,8,0.011736760948930114,12,0.72,0.05,0.0,0.05,0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,0.05,microscopic,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.04690926668636803,-0.09006903279877361,0.025724987222389584,8,0.00909515645544448,12,0.72,0.05,0.0,0.05,0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,0.05,microscopic,6,0.39269908169872414,0.125,-0.2511391455052437,-0.1413690378227049,-0.26351844780230377,0.020408951052269843,8,0.007215653842982165,12,0.72,0.05,0.0,0.05,0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,0.05,microscopic,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-3.1247848766092604e-17,-0.0010914840621198763,0.03464947422652516,8,0.01225043909506222,12,0.72,0.05,0.0,0.05,0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,0.1,gaussian_map,0,0.0,0.0,1.0,0.37393650107548,1.0,0.0,8,0.0,12,0.72,0.1,0.0,0.1,0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,0.1,gaussian_map,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.331977467701527,0.879266225447812,0.01986873741926557,8,0.007024659481388794,12,0.72,0.1,0.0,0.1,0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,0.1,gaussian_map,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.22213466766509504,0.5894462254775099,0.020754378437426228,8,0.007337780866207974,12,0.72,0.1,0.0,0.1,0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,0.1,gaussian_map,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.031161375089623293,-0.08031214200290648,0.011022585391297792,8,0.0038970724381972213,12,0.72,0.1,0.0,0.1,0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,0.1,gaussian_map,6,0.39269908169872414,0.125,-0.2511391455052437,-0.09391009335331668,-0.24251469238873316,0.018019648974488805,8,0.006370907992231125,12,0.72,0.1,0.0,0.1,0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,0.1,gaussian_map,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-2.0757645662088375e-17,-0.005716986410840229,0.016655689629180827,8,0.005888675541066107,12,0.72,0.1,0.0,0.1,0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,0.1,microscopic,0,0.0,0.0,1.0,0.37393650107548,1.0,0.0,8,0.0,12,0.72,0.1,0.0,0.1,0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,0.1,microscopic,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.331977467701527,0.8887016254299684,0.041507005972548534,8,0.014674942694969799,12,0.72,0.1,0.0,0.1,0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,0.1,microscopic,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.22213466766509504,0.5878855441225603,0.03433453108156945,8,0.01213908987831902,12,0.72,0.1,0.0,0.1,0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,0.1,microscopic,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.031161375089623293,-0.0779342191394082,0.031438097442444864,8,0.011115045944578109,12,0.72,0.1,0.0,0.1,0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,0.1,microscopic,6,0.39269908169872414,0.125,-0.2511391455052437,-0.09391009335331668,-0.24660943050323117,0.017802897242911824,8,0.0062942746826151206,12,0.72,0.1,0.0,0.1,0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,0.1,microscopic,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-2.0757645662088375e-17,0.01438457845114691,0.02515992311673804,8,0.008895376124988821,12,0.72,0.1,0.0,0.1,0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
