sweep_parameter,sweep_value,dynamics,mode_index,q,q_over_pi,kernel_hat,lambda_theory,lambda_fit_mean,lambda_fit_std,fit_r2_mean,fit_r2_std,A0_mean,A1_mean,A1_std,n_seed,lambda_fit_se,A1_se,relative_error,unreliable,R,B,h,phi_bar,delta_h_minus_phi,m_star,Lambda_star,mu,sigma_eff
B,0.4,gaussian_map,0,0.0,0.0,1.0,0.4,0.39977610427780946,0.005600225487404432,0.9994575688637906,0.0007439434399710863,0.049981770833333335,0.020006510416666665,0.0004973403188292068,8,0.001979978709158706,0.00017583635600080586,0.0005597393054763977,False,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.35511640799625127,0.3532759633146318,0.006675786036350912,0.9993065887892929,0.000454717549681863,0.050220901874533604,0.017709150063171183,0.0004407355711760497,8,0.002360246788027097,0.0001558235555443555,0.005182651773271226,False,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.23761752813775902,0.23748476223775522,0.007628686477301595,0.9995736390249486,0.00023921116942580902,0.04988810547530412,0.01183777924947009,0.00044182053809752514,8,0.002697147969823036,0.0001562071492781247,0.0005587378214238027,False,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.03333333333333329,-0.03332171212210154,0.00585363722360236,0.9746398957780588,0.032992336140404165,0.050041078489898555,-0.0016649014108382507,0.00028009399409162497,8,0.0020695732877076115,9.902818129590639e-05,0.00034863633695252126,False,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,6,0.39269908169872414,0.125,-0.2511391455052437,-0.10045565820209748,-0.10106494736398396,0.007936363309271364,0.9957322388601558,0.00499305279435163,0.049845481516083895,-0.005038840336982378,0.0004597546034389672,8,0.002805928156972945,0.00016254779888671283,0.006065254787945371,False,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-2.2204460492503132e-17,-0.0005673733329574917,0.005445561249211967,0.2503913898542009,0.4180957488310984,0.0499607829142088,-2.7922999646706932e-05,0.00027202691425633283,8,0.0019252966433422343,9.617603786795223e-05,,True,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,0,0.0,0.0,1.0,0.4,0.39549672128916197,0.016347046853668404,0.9756893388671608,0.011059622669368255,0.049981770833333335,0.019876953125,0.0012613938112037823,8,0.005779553841301572,0.000445970058824469,0.011258196777095136,False,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.35511640799625127,0.3658364316417535,0.01674674778039261,0.9785725227537994,0.01838087355559065,0.050220901874533604,0.01826963596551594,0.0006060755984651623,8,0.005920869459168189,0.00021428008279320566,0.03018735097595207,False,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.23761752813775902,0.2378849474458136,0.02133807931799751,0.9264307962004886,0.06683032035619083,0.04988810547530412,0.011727631384857816,0.0010928622326095397,8,0.00754415029162623,0.00038638514779043776,0.00112541911428157,False,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.03333333333333329,-0.03681251740274529,0.016500850210100428,-0.18433508971458956,1.2407399536212311,0.050041078489898555,-0.0018245248540358632,0.0007535918673537713,8,0.005833931539452739,0.00026643495982644246,0.10437552208236013,True,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
