sweep_parameter,sweep_value,dynamics,R,B,h,phi_bar,delta_h_minus_phi,m_star,Lambda_star,mu,sigma_eff,n_seeds
B,0.4,gaussian_map,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393,8
B,0.4,microscopic,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393,8
B,0.6,gaussian_map,12,0.6,0.0,0.0,0.0,0.0,0.6,0.15999280278015515,0.2127596452964393,8
B,0.6,microscopic,12,0.6,0.0,0.0,0.0,0.0,0.6,0.15999280278015515,0.2127596452964393,8
B,0.8,gaussian_map,12,0.8,0.0,0.0,0.0,0.0,0.8,0.2133237370402069,0.2127596452964393,8
B,0.8,microscopic,12,0.8,0.0,0.0,0.0,0.0,0.8,0.2133237370402069,0.2127596452964393,8
B,0.95,gaussian_map,12,0.95,0.0,0.0,0.0,0.0,0.95,0.2533219377352457,0.2127596452964393,8
B,0.95,microscopic,12,0.95,0.0,0.0,0.0,0.0,0.95,0.2533219377352457,0.2127596452964393,8
