dynamics,mode_index,q,q_over_pi,kernel_hat,lambda_theory,lambda_ratio_mean,lambda_ratio_std,n_seed,lambda_ratio_se
microscopic,0,0.0,0.0,1.0,0.72,1.0,0.0,12,0.0
microscopic,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.6392095343932522,0.8959501687575607,0.025204209627070758,12,0.00727582860645053
microscopic,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.4277115506479662,0.5910416562078247,0.018755851799047495,12,0.0054143480425304
microscopic,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.05999999999999992,-0.08877471181556901,0.013451463608688657,12,0.0038831030677354255
microscopic,6,0.39269908169872414,0.125,-0.2511391455052437,-0.18082018476377545,-0.25423164674049475,0.01855886135688715,12,0.00535748180012587
microscopic,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-3.9968028886505634e-17,0.015416805754028899,0.029191611168859592,12,0.008426892283209987
