sweep_parameter,sweep_value,dynamics,t,theory_norm_mean,theory_norm_se,amp_mean,amp_se,amp_norm_mean,amp_norm_se,R,B,h,phi_bar,delta_h_minus_phi,m_star,Lambda_star,mu,sigma_eff
B,0.4,gaussian_map,36,3.4011442719811464e-23,0.0,0.0,0.0,0.0,0.0,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,37,8.081714947480581e-24,0.0,0.0,0.0,0.0,0.0,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,38,1.9203571289343146e-24,0.0,0.0,0.0,0.0,0.0,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,39,4.563105141190956e-25,0.0,0.0,0.0,0.0,0.0,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,gaussian_map,40,1.0842737642824948e-25,0.0,0.0,0.0,0.0,0.0,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,0,1.0,0.0,0.04988810547530412,0.00015042589321660123,1.0,0.0,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,1,0.23761752813775905,0.0,0.011727631384857816,0.00038638514779043776,0.23504196345844583,0.007577825839842147,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,2,0.056462089678298695,2.6226553776572348e-18,0.003160533973909427,0.00016882236377310192,0.0633323913014947,0.003338116561749614,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,3,0.013416382182849813,6.556638444143087e-19,0.0014163542091564405,0.0006140711467819078,0.02839680366928737,0.012246211589324317,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,4,0.003187967570840244,3.2783192220715434e-19,0.0007869430713378994,0.000639853175571297,0.01586808394609216,0.01280830607764957,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,5,0.0007575169739663951,0.0,0.00028523356294267053,0.0006820169852007836,0.005610618151372236,0.013619163569922398,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,6,0.00017999931087628993,1.0244747568973573e-20,-0.0006718714775329395,0.0005220242580087612,-0.013526793728330138,0.010473434441786493,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,7,4.277099131692407e-05,2.5611868922433933e-21,0.00017989395944616895,0.0006209207122308869,0.0035705664854855557,0.012445880697168184,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,8,1.016313723272905e-05,0.0,-0.0014132917757552778,0.0006809872292624637,-0.02833106593843384,0.013637653409292582,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,9,2.414939547365901e-06,1.6007418076521208e-22,-0.0013997576921181707,0.0006528705245211802,-0.02796323937643845,0.013074283760290135,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,10,5.738319658472041e-07,0.0,-0.00026543847127018363,0.0008597136519474746,-0.0053901765944103525,0.017183497253851546,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,11,1.3635253329104362e-07,1.0004636297825755e-23,-0.0004198163928692479,0.0009110442873344177,-0.008594363263674458,0.018179805362663858,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,12,3.239975191593928e-08,0.0,-0.0005138959617686217,0.00044426481297779006,-0.010328210821822923,0.008864896037372233,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,13,7.698748962542111e-09,6.252897686141097e-25,-0.0009367276236466222,0.0005982688370597236,-0.01868228676483312,0.012017947300753916,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,14,1.8293576982323935e-09,0.0,-0.00030814999916053807,0.0003947562426537511,-0.006097630151847721,0.007949675918883611,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,15,4.3468745433376176e-10,1.9540305269190928e-26,-0.000673249026840394,0.001007854721542965,-0.013472001515540552,0.020213758789881284,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,16,1.0328935841128351e-10,4.885076317297732e-27,-0.0004313780038059619,0.0010296493652671747,-0.008651684527100915,0.020570756590767923,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,17,2.4543362028624235e-11,1.221269079324433e-27,0.0006241617688514541,0.000601652951441005,0.012517336207101312,0.012066997253929583,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,18,5.831933017431827e-12,6.106345396622165e-28,0.001267668068970709,0.000893350453697884,0.02527665140560932,0.017847836138612194,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
