sweep_parameter,sweep_value,dynamics,seed_index,seed,mode_index,q,q_over_pi,kernel_hat,lambda_theory,lambda_fit,fit_r2,A0,A1,R,B,h,phi_bar,delta_h_minus_phi,m_star,Lambda_star,mu,sigma_eff
delta,-0.1,gaussian_map,3,50260804,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.22213466766509504,0.23468275711279793,0.9994618172285291,0.04916325336262947,0.011497153357571913,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,3,50260804,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.031161375089623293,-0.04045247214407619,0.9818631673492543,0.05040166004509408,-0.002047467500567136,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,3,50260804,6,0.39269908169872414,0.125,-0.2511391455052437,-0.09391009335331668,-0.09881972492030072,0.9996924266429609,0.051106825103273634,-0.0050521801841314305,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,3,50260804,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-2.0757645662088375e-17,0.004720782909805592,0.5723359276030052,0.0506025236850701,0.0002391091944990037,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,4,50260805,0,0.0,0.0,1.0,0.37393650107548,0.38591185243730214,0.9998605352389264,0.04932291666666669,0.019041666666666682,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,4,50260805,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.331977467701527,0.3472473038257448,0.9991862827655988,0.04967762591706715,0.01712500609593552,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,4,50260805,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.22213466766509504,0.22955605937548812,0.9983073355901209,0.0501621583856888,0.011443716395641738,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,4,50260805,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.031161375089623293,-0.03242281831932901,0.9945332448868026,0.05044241865984709,-0.0016360786758134835,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,4,50260805,6,0.39269908169872414,0.125,-0.2511391455052437,-0.09391009335331668,-0.102604272852191,0.999324180527329,0.05012909746667922,-0.005139615258352314,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,4,50260805,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-2.0757645662088375e-17,0.001599399329488636,-0.561218709399798,0.049373337364455316,7.887288301796356e-05,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,5,50260806,0,0.0,0.0,1.0,0.37393650107548,0.3852382926902661,0.9996795158189643,0.05075520833333336,0.019489583333333352,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,5,50260806,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.331977467701527,0.3360700181003284,0.9998596739967397,0.050585433569585864,0.016964429079852912,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,5,50260806,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.22213466766509504,0.21810319098620037,0.9982908259706891,0.04939856174424101,0.01071346081819271,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,5,50260806,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.031161375089623293,-0.04007480591358174,0.9778206532394349,0.04996208155316862,-0.0019924371019353973,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,5,50260806,6,0.39269908169872414,0.125,-0.2511391455052437,-0.09391009335331668,-0.09886698289233213,0.9996081601708757,0.05060979521703725,-0.004995340880880085,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,5,50260806,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-2.0757645662088375e-17,-0.004728228157197927,0.9568170388587157,0.05079338915865095,-0.00024023101902594888,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,6,50260807,0,0.0,0.0,1.0,0.37393650107548,0.3859892687617634,0.998680303531914,0.049932291666666684,0.01908854166666668,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,6,50260807,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.331977467701527,0.3471313901945922,0.9988865236324116,0.05091090408471621,0.01759453856555649,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,6,50260807,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.22213466766509504,0.22957898262193277,0.9993649118407996,0.050761915622756545,0.011671468564456288,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,6,50260807,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.031161375089623293,-0.0279699527873576,0.9926397488883569,0.05021951710566092,-0.0014074966787346326,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,6,50260807,6,0.39269908169872414,0.125,-0.2511391455052437,-0.09391009335331668,-0.11262922771607091,0.9987337966169988,0.05123633780028394,-0.005781435845901077,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,6,50260807,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-2.0757645662088375e-17,-0.0031802152973278157,0.2799799652391822,0.04992688961603218,-0.00015904113742115763,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,7,50260808,0,0.0,0.0,1.0,0.37393650107548,0.3827330249373211,0.9999461898583437,0.049354166666666685,0.018875000000000017,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,7,50260808,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.331977467701527,0.33777838698773066,0.999182705318378,0.05005240103591216,0.0167938003965645,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,7,50260808,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.22213466766509504,0.21770314735975854,0.9993820325527908,0.05037953251001692,0.010920919729730985,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,7,50260808,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.031161375089623293,-0.02894250407123354,0.9970915830498064,0.05006029363425975,-0.001447605779106314,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,7,50260808,6,0.39269908169872414,0.125,-0.2511391455052437,-0.09391009335331668,-0.08796527014266108,0.9750346108221983,0.04939738264035998,-0.004290060799017732,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,7,50260808,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-2.0757645662088375e-17,0.0052193348097137405,0.7520217450191151,0.04991280688380863,0.0002601429224830333,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,0,50260801,0,0.0,0.0,1.0,0.37393650107548,0.39938834185111033,0.9921865506039738,0.04941145833333336,0.01999479166666668,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,0,50260801,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.331977467701527,0.3327012932704969,0.9886696308590165,0.04907136169784219,0.016114665066740617,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,0,50260801,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.22213466766509504,0.20975533038688177,0.9754100008672976,0.049757330931791466,0.010717213317084417,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,0,50260801,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.031161375089623293,-0.030720131157779756,0.3463272246544441,0.05048628982527296,-0.00155504970181348,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,0,50260801,6,0.39269908169872414,0.125,-0.2511391455052437,-0.09391009335331668,-0.10435304638728807,0.7082068976950232,0.05026668059026192,-0.00534981042347307,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,0,50260801,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-2.0757645662088375e-17,-0.0005926720808110643,-0.24539558033428954,0.04876954463929765,-3.349364905389031e-05,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,1,50260802,0,0.0,0.0,1.0,0.37393650107548,0.3891639742686684,0.9969858022948556,0.04956250000000002,0.019083333333333348,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,1,50260802,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.331977467701527,0.3356747007615215,0.9953538756670928,0.0508155051578702,0.016998326599926936,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,1,50260802,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.22213466766509504,0.22820713342136115,0.9919215076019713,0.04977397894263948,0.011550255123285533,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,1,50260802,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.031161375089623293,-0.029948212854214507,0.8600454714360708,0.0498180541252733,-0.0014840850720949372,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,1,50260802,6,0.39269908169872414,0.125,-0.2511391455052437,-0.09391009335331668,-0.10988644362135867,0.9954975259845827,0.050294394331165684,-0.005516079752911894,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
