R,N,delta,epsilon,Gamma0_num,tau0_num,xi_bnd,kappa_R,xi_scaled,collapse_ratio,Gamma0_source,gamma_reliable,boundary_fit_reliable,converged,xi_lat,xi_Gamma,relative_difference_bnd_vs_lat,relative_difference_Gamma_vs_lat
6,512,1e-05,0.05,0.0089679590828724,111.50809127908111,29.11544234011335,7.583333333333333,10.572880398040551,0.9975157074296606,deterministic q=0 numerical,True,True,True,29.049916494287924,29.079254212118848,0.0022556294039024483,0.0010099071312887897
6,512,3e-05,0.05,0.0155742562906996,64.20852343345376,22.070569423210472,7.583333333333333,8.014629765963113,0.9995988614197548,deterministic q=0 numerical,True,True,True,22.027515349106267,22.066142300751718,0.00195455880619555,0.0017535773342234329
6,512,0.0001,0.05,0.0285830844000224,34.98572743252357,16.264447215722214,7.583333333333333,5.9062147551561175,1.0029341973117152,deterministic q=0 numerical,True,True,True,16.23605554547571,16.288291286380236,0.001748680285490467,0.003217267935442747
6,512,0.0003,0.05,0.0499265417014477,20.02942655190963,12.273000887359506,7.583333333333333,4.45677482729917,1.008386750084694,deterministic q=0 numerical,True,True,True,12.255523737053036,12.324358726467192,0.0014260631109244137,0.005616650164532944
12,1024,1e-05,0.05,0.0105638352032307,94.66258993648192,50.68253629139341,27.083333333333332,9.738841159800186,0.998076470587382,deterministic q=0 numerical,True,True,True,50.57698656448935,50.633768153736945,0.002086912132842844,0.0011226764009593104
12,1024,3e-05,0.05,0.0183545913681992,54.48228075142986,38.40575371507418,27.083333333333332,7.379810925465234,1.0003795601356844,deterministic q=0 numerical,True,True,True,38.338274221331794,38.41304167013106,0.0017601077542721555,0.0019502038189727067
12,1024,0.0001,0.05,0.0337169529636017,29.65867055304568,28.28006965156599,27.083333333333332,5.434122411341444,1.0043679492540565,deterministic q=0 numerical,True,True,True,28.2406390096054,28.341765308668652,0.0013962375974276853,0.0035808785710853552
12,1024,0.0003,0.05,0.0589818115783045,16.954379210146772,21.3190450291378,27.083333333333332,4.0965351856840275,1.01029572133575,deterministic q=0 numerical,True,True,True,21.29521505690371,21.428511465058456,0.0011190294237655163,0.00625945348748802
24,2048,1e-05,0.05,0.0123333467463939,81.08099290181606,91.04007599250082,102.08333333333331,9.0106306939396,0.9986393569808532,deterministic q=0 numerical,True,True,True,90.86257543918555,90.97811838785039,0.001953505637027231,0.0012716230869129763
24,2048,3e-05,0.05,0.0214403158338007,46.64110397214849,68.9607944398377,102.08333333333331,6.825348554292128,1.0011961066136417,deterministic q=0 numerical,True,True,True,68.84986743428175,69.00202434583706,0.0016111433426044819,0.0022099811840676775
24,2048,0.0001,0.05,0.039425640917618,25.3642040237102,50.74097639967112,102.08333333333331,5.022054237136212,1.0056768208914342,deterministic q=0 numerical,True,True,True,50.67895852325826,50.88479629601638,0.0012237401521264513,0.004061602265635678
24,2048,0.0003,0.05,0.0690819705254742,14.475556970848809,38.2044713176641,102.08333333333331,3.7812620227715494,1.0124223807853867,deterministic q=0 numerical,True,True,True,38.16963845350249,38.441034161957916,0.0009125804061267395,0.0071102509599620944
48,4096,1e-05,0.05,0.0141820440965979,70.51169726935822,167.1856589538568,396.0833333333333,8.400511625162517,0.9991937164870968,deterministic q=0 numerical,True,True,True,166.8779738368394,167.11824584239238,0.0018437730872633562,0.001439806584587977
48,4096,3e-05,0.05,0.024667565606808,40.539063154412375,126.5867171293333,396.0833333333333,6.360552666360095,1.002037563000686,deterministic q=0 numerical,True,True,True,126.3991729381657,126.71561570860226,0.0014837453980758308,0.0025035193117233234
48,4096,0.0001,0.05,0.0454083552096417,22.022378819562856,93.067942687707,396.0833333333333,4.676348075368254,1.0070489238609526,deterministic q=0 numerical,True,True,True,92.96721728171495,93.39538109982664,0.0010834508005852506,0.004605535484774492
48,4096,0.0003,0.05,0.0797025713702541,12.54664664900901,69.9836818914354,396.0833333333333,3.516442361021758,1.014660282416494,deterministic q=0 numerical,True,True,True,69.93011366593693,70.4948056731486,0.0007660251455383627,0.008075090652780448
96,8192,1e-05,0.05,0.0159398407385925,62.735884027929174,312.89417563705587,1560.0833333333333,7.921794651400934,0.9996980874478568,deterministic q=0 numerical,True,True,True,312.34541622556463,312.8469387318744,0.0017568991987222393,0.0016056662920500564
96,8192,3e-05,0.05,0.0277393324686253,36.049894175754034,236.81907453526057,1560.0833333333333,5.995739850968862,1.0028094830574246,deterministic q=0 numerical,True,True,True,236.49093539677435,237.15151079431112,0.00138753368257305,0.0027932377045594148
96,8192,0.0001,0.05,0.0511150464176541,19.563711080865225,173.98011387080578,1560.0833333333333,4.4047951122956315,1.0083233310269315,deterministic q=0 numerical,True,True,True,173.80870921747928,174.70266052755605,0.000986168380734176,0.005143305615129989
96,8192,0.0003,0.05,0.089865977667871,11.127681753998448,130.66532778213116,1560.0833333333333,3.3081596761606504,1.0167911775291696,deterministic q=0 numerical,True,True,True,130.57846975880997,131.7577733685964,0.0006651787502305329,0.009031378694854375
