t,mode_index,q,coherent_response_abs,coherent_plus_abs,coherent_response_real,coherent_response_imag,coherent_plus_real,coherent_plus_imag,structure_factor
0,0,0.0,0.00034375,0.0004062500000000007,0.00034375,0.0,-0.0004062500000000007,0.0,1.719470254348924e-33
0,1,0.06544984694978735,0.0002458618029338256,0.005123093151015428,-0.00012188815032238088,-0.00021352120492555294,0.0030708226719764935,-0.004100747681979024,1.0310011975066775
0,2,0.1308996938995747,0.025113415118391512,0.024890252661914917,0.02511148856414378,0.000311064304495496,0.02483284541326757,-0.0016895165742656496,1.0472122067785892
0,3,0.19634954084936207,8.960312190821234e-05,0.002043249009622392,2.8884532406161113e-05,8.481982812630188e-05,-0.00028910447750251256,-0.0020226925412456746,1.0188011762308822
0,4,0.2617993877991494,0.00026378130979611415,0.00013754493215300994,-0.00018474296379518475,-0.00018828334160494556,0.00010910955796373598,-8.374791174670711e-05,0.9890758126192267
0,5,0.3272492347489368,0.00019814199884752562,0.002356183009901604,-9.29837383705517e-05,-0.0001749693576199262,0.0020334581899160388,-0.0011902294593952745,0.9766556977020086
0,6,0.39269908169872414,0.0004009630121131554,0.0003453198426514615,0.00022271337132328184,0.0003334217919042971,-0.00034028530529811986,5.8751210430045466e-05,1.030100038665273
0,7,0.4581489286485115,8.591603278808415e-05,0.004041890166475463,3.3754937289754005e-05,7.900739774608403e-05,0.0024551658703734383,0.0032107688591370893,0.9826902517115896
0,8,0.5235987755982988,0.0004333524852009614,0.000390474866815684,-9.276504756487098e-05,-0.0004233072434770479,0.00036112485627144464,0.00014852427342914218,1.0248017285292754
0,9,0.5890486225480862,0.00035639710839187376,0.0005879655184562714,0.00022315713500855913,-0.0002778844939266326,0.00047340205739617396,0.00034870323047918794,1.0307271460764607
0,10,0.6544984694978736,0.0006149641830590081,0.001239993020044251,0.0006039601321895193,-0.00011581496091201502,-5.081661130765883e-05,0.0012389513153363487,0.9734838512765355
0,11,0.7199483164476609,0.0004442936241757316,0.002241608655955462,2.049056843791481e-05,0.0004438208659902071,-0.0015842664790560311,-0.0015858464899837742,0.9882130551096567
0,12,0.7853981633974483,0.000399829353781965,0.0020155303955129646,0.00019018082617584085,-0.0003517026663259441,0.0012604538680986272,0.0015727742436954695,1.020524538520801
0,13,0.8508480103472357,0.000466346699515492,0.00039268972796745644,0.0003742262158447898,-0.0002782696237886582,-0.00037800656679036883,0.00010637790143875445,1.0421273114032594
0,14,0.916297857297023,0.0001548802840280079,0.00317979053709274,6.492196014088966e-05,-0.00014061664720814936,-0.003061876856992989,0.0008578915854554538,1.01611509794422
0,15,0.9817477042468102,0.0002587563530006786,0.0005421829269002503,3.1041196649223025e-05,0.00025688770762493886,-0.0003406644731680728,-0.0004217938393851215,1.0066977311816243
0,16,1.0471975511965976,0.0003580137261684262,0.0024526992287976206,-0.00023437500000000089,-0.00027063293868263784,-0.0024322916666666664,-0.00031573842846307695,1.0200208333333334
0,17,1.1126473981463851,0.0003801770463903563,0.0011585797638544685,-0.0002893565844525754,0.00024659147113400887,-0.0010739969540655473,0.00043455449815990024,0.9830736093311727
0,18,1.1780972450961724,0.0002291250342094331,0.0017793109991671035,-0.00015377433180827876,-0.00016985798826782119,0.0017321674958153998,-0.0004068702473733407,0.9602240320520758
0,19,1.2435470920459597,0.0003354538978130426,0.0036910101764038093,0.00022392038816174242,0.0002497778559509586,-0.002732335725506769,-0.002481511153598927,1.0164292822619039
0,20,1.3089969389957472,0.00037774270228067055,0.002470430755847864,-0.00016193937451421515,-0.00034126996367721566,-0.0024462268650511194,-0.0003449670189180705,1.0232769613619703
0,21,1.3744467859455345,0.00046416980206301833,0.002370324637211919,-0.0004567353050893913,-8.27433757597684e-05,0.0005380388268614363,-0.0023084525350466675,0.9733536161594997
0,22,1.4398966328953218,3.8521436446224104e-05,0.0035609908180504633,-3.333299088339063e-05,-1.9308360485765742e-05,-0.00348974698447984,-0.0007087464924453403,1.045208386921679
0,23,1.505346479845109,0.0003799342729648537,0.0007551255191795656,0.0002637309109903677,0.0002734886804998018,0.0007535272069029214,4.910497096313589e-05,0.9553719750764803
