t,mode_index,q,mean_magnetization,coherent_A_real,coherent_A_imag,coherent_A_abs,direct_coherent_A_plus_real,direct_coherent_A_plus_imag,direct_coherent_A_plus_abs,cosine_amplitude,theory_cosine_amplitude
0,0,0.0,0.0494375,0.05011979166666667,0.0,0.05011979166666667,0.0494375,0.0,0.0494375,0.05011979166666667,0.05
1,0,0.0,0.03290625,0.034187499999999996,0.0,0.034187499999999996,0.03290625,0.0,0.03290625,0.034187499999999996,0.036
2,0,0.0,0.0234375,0.023791666666666662,0.0,0.023791666666666662,0.0234375,0.0,0.0234375,0.023791666666666662,0.02592
3,0,0.0,0.019635416666666666,0.016703125,0.0,0.016703125,0.019635416666666666,0.0,0.019635416666666666,0.016703125,0.0186624
4,0,0.0,0.013343750000000001,0.011630208333333331,0.0,0.011630208333333331,0.013343750000000001,0.0,0.013343750000000001,0.011630208333333331,0.013436927999999999
5,0,0.0,0.013385416666666669,0.011307291666666667,0.0,0.011307291666666667,0.013385416666666665,0.0,0.013385416666666665,0.011307291666666667,0.009674588159999999
6,0,0.0,0.010520833333333333,0.007515625,0.0,0.007515625,0.01052083333333333,0.0,0.01052083333333333,0.007515625,0.0069657034751999984
7,0,0.0,0.007385416666666666,0.004385416666666666,0.0,0.004385416666666666,0.007385416666666667,0.0,0.007385416666666667,0.004385416666666666,0.005015306502143999
8,0,0.0,0.0060104166666666665,0.003348958333333333,0.0,0.003348958333333333,0.006010416666666666,0.0,0.006010416666666666,0.003348958333333333,0.0036110206815436786
9,0,0.0,0.003614583333333333,0.0009843749999999996,0.0,0.0009843749999999996,0.0036145833333333334,0.0,0.0036145833333333334,0.0009843749999999996,0.002599934890711449
10,0,0.0,0.00496875,0.0022864583333333335,0.0,0.0022864583333333335,0.004968749999999999,0.0,0.004968749999999999,0.0022864583333333335,0.0018719531213122432
11,0,0.0,0.0030833333333333333,0.0018645833333333335,0.0,0.0018645833333333335,0.0030833333333333338,0.0,0.0030833333333333338,0.0018645833333333335,0.001347806247344815
12,0,0.0,0.0029374999999999996,0.001130208333333333,0.0,0.001130208333333333,0.0029375,0.0,0.0029375,0.001130208333333333,0.0009704204980882669
13,0,0.0,-0.0016666666666666663,-0.0014739583333333332,0.0,0.0014739583333333332,-0.0016666666666666663,0.0,0.0016666666666666663,-0.0014739583333333332,0.000698702758623552
14,0,0.0,-0.002166666666666667,-0.0008333333333333335,0.0,0.0008333333333333335,-0.0021666666666666666,0.0,0.0021666666666666666,-0.0008333333333333335,0.0005030659862089574
15,0,0.0,0.0017083333333333328,0.0006927083333333332,0.0,0.0006927083333333332,0.0017083333333333334,0.0,0.0017083333333333334,0.0006927083333333332,0.00036220751007044933
16,0,0.0,0.0013645833333333333,0.0015416666666666664,0.0,0.0015416666666666664,0.0013645833333333333,0.0,0.0013645833333333333,0.0015416666666666664,0.00026078940725072353
17,0,0.0,0.0006145833333333338,0.00019791666666666626,0.0,0.00019791666666666626,0.0006145833333333338,0.0,0.0006145833333333338,0.00019791666666666626,0.00018776837322052094
18,0,0.0,0.005708333333333333,0.0023749999999999995,0.0,0.0023749999999999995,0.0057083333333333335,0.0,0.0057083333333333335,0.0023749999999999995,0.00013519322871877504
19,0,0.0,0.004791666666666666,0.0010781249999999999,0.0,0.0010781249999999999,0.004791666666666666,0.0,0.004791666666666666,0.0010781249999999999,9.733912467751804e-05
20,0,0.0,0.0038541666666666668,-0.0013802083333333333,0.0,0.0013802083333333333,0.0038541666666666663,0.0,0.0038541666666666663,-0.0013802083333333333,7.008416976781298e-05
21,0,0.0,0.0039791666666666664,-0.0009687499999999998,0.0,0.0009687499999999998,0.0039791666666666664,0.0,0.0039791666666666664,-0.0009687499999999998,5.046060223282535e-05
