t,mode_index,q,mean_magnetization,coherent_A_real,coherent_A_imag,coherent_A_abs,direct_coherent_A_plus_real,direct_coherent_A_plus_imag,direct_coherent_A_plus_abs,cosine_amplitude,theory_cosine_amplitude
0,4,0.2617993877991494,-0.0005312500000000005,0.025038125554615976,-4.2210949049768925e-05,0.02503816113561324,0.02684754087303349,-0.000597168933132386,0.02685418145585343,0.05007625110923195,0.05
1,4,0.2617993877991494,0.0025624999999999997,-0.0013856047539522656,2.5352834329697656e-05,0.0013858366788275114,-0.0022193837912714435,0.0010740647816193018,0.002465619509996083,-0.002771209507904531,-0.002999999999999996
2,4,0.2617993877991494,5.2083333333333235e-05,4.249740982542286e-05,0.00013650397368786783,0.00014296630608100658,0.0009319149228827501,-0.0005128518903814962,0.0010637116549889994,8.499481965084572e-05,0.00017999999999999952
3,4,0.2617993877991494,0.0016458333333333333,-0.00011851370588565645,-0.0004742591691677275,0.000488842774337941,-0.0014424498412248933,0.0018325311260943046,0.0023321303292385227,-0.0002370274117713129,-1.0799999999999958e-05
4,4,0.2617993877991494,-0.0009166666666666666,-0.00017572966661513214,0.0011250807844452359,0.0011387219534445504,0.00023160855361869858,-0.00022655831738316933,0.0003239925821447745,-0.0003514593332302643,6.479999999999966e-07
5,4,0.2617993877991494,-0.003875,0.0011442081427391186,-0.0008466244806333746,0.0014233710988769705,-0.0007194646089655982,-0.0016453070367153776,0.0017957351053591278,0.002288416285478237,-3.887999999999975e-08
6,4,0.2617993877991494,-0.0064375,-0.0004676380760050198,-7.364742060982816e-05,0.0004734018511710296,0.00011058083555186816,-0.0006961369430986701,0.000704865068462121,-0.0009352761520100396,2.332799999999982e-09
7,4,0.2617993877991494,-0.0056145833333333325,0.0007000655065988453,-0.00023489818483029995,0.0007384232328184614,-0.0012388884700887852,8.766663737315658e-05,0.0012419863447829236,0.0014001310131976905,-1.3996799999999873e-10
8,4,0.2617993877991494,-0.0024479166666666664,0.0005472836022462012,0.0008695292518678445,0.0010274241875396118,0.001192465339731222,-0.00012693939502132756,0.00119920273368129,0.0010945672044924025,8.398079999999912e-12
9,4,0.2617993877991494,-0.0052187499999999986,0.0003092640994644336,-0.0006715618399416616,0.0007393507882482962,0.0011398648690120416,-0.0009295949034770154,0.001470863217358528,0.0006185281989288672,-5.038847999999941e-13
10,4,0.2617993877991494,-0.006135416666666667,-0.0006859677184577839,0.00045922437458150047,0.0008254930266064928,0.00036304780420525493,0.00011586880652615064,0.0003810896068696333,-0.0013719354369155679,3.02330879999996e-14
11,4,0.2617993877991494,-0.003645833333333333,-0.001347616675635902,-0.0006902855907049534,0.0015141218250810753,-0.0027204812862181016,0.0003945683578947567,0.002748945728404739,-0.002695233351271804,-1.8139852799999738e-15
12,4,0.2617993877991494,-0.004666666666666667,0.0001705892143566238,0.001212802227942977,0.0012247407579395154,0.0005435110448586222,0.00031685603561807643,0.0006291279704407641,0.0003411784287132476,1.0883911679999829e-16
13,4,0.2617993877991494,-0.0036979166666666658,-0.0020138710197921826,-0.00016696436790801205,0.00202078043946138,-0.0026148452488796003,0.0011552409152967317,0.0028586705385482687,-0.004027742039584365,-6.530347007999889e-18
14,4,0.2617993877991494,-0.001979166666666667,0.0006991115572596718,-0.0003734263699848304,0.0007925933530468765,0.0002560422115916443,-0.0010184588418386755,0.0010501504780916478,0.0013982231145193435,3.918208204799928e-19
15,4,0.2617993877991494,0.00023958333333333354,-0.0007000641182631259,-0.0007180527785307872,0.0010028407462978914,-0.002080268112046367,-0.0009359177069605011,0.0022811088032356455,-0.0014001282365262518,-2.3509249228799537e-20
