mode_index,q,q_over_pi,kernel_hat,Lambda_star,lambda_theory,lambda_fit,fit_r2,relative_error,lambda_fit_over_lambda0_fit
0,0.0,0.0,1.0,0.72,0.72,0.6972657401351052,0.9708399628989418,0.031575360923464926,1.0
1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.72,0.6392095343932522,0.616461544158443,0.9831826130303747,0.03558768918614766,0.8841127688834888
2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.72,0.4277115506479662,0.4172381561294146,0.9843058942095629,0.024487050917107053,0.5983918786093932
4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,0.72,-0.05999999999999992,-0.05555499454856233,0.5863562347738427,0.0740834241906266,-0.07967549723265875
6,0.39269908169872414,0.125,-0.2511391455052437,0.72,-0.18082018476377545,-0.1688919162808271,0.9657413515414179,0.06596757158793709,-0.24222029931959924
8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,0.72,-3.9968028886505634e-17,0.0017698292301306935,-0.19078504176169075,1769829230.1307335,0.002538242062183872
